personnel_id,week,sleep_hours,fatigue_score,stress_score,mood_score,emotional_exhaustion
P1588,9,7.7,4.4,6.4,5.1,5.8
P1588,10,6.4,3.7,4.5,6.6,3.5
P1588,11,5.3,5.1,3.2,6.9,3.5
P1588,12,8.0,3.7,4.3,6.1,4.4
P1589,1,5.6,6.2,5.5,5.7,6.1
P1589,2,5.9,6.8,4.1,7.9,3.7
P1589,3,6.5,4.8,3.9,5.2,4.2
P1589,4,7.5,4.2,6.0,4.4,6.5
P1589,5,8.4,3.9,3.5,4.2,3.6
P1589,6,7.4,4.6,7.3,5.4,5.2
P1589,7,7.0,4.5,5.6,5.1,5.6
P1589,8,6.3,7.5,6.1,4.4,6.8
P1589,9,8.2,5.0,4.2,7.0,4.6
P1589,10,7.9,4.1,5.6,4.9,4.4
P1589,11,6.4,6.0,4.6,7.2,5.5
P1589,12,7.3,5.3,5.3,5.8,6.3
P1590,1,6.5,4.6,5.7,5.0,4.4
P1590,2,8.1,3.8,4.4,7.7,5.3
P1590,3,8.4,3.5,5.5,5.3,2.5
P1590,4,8.2,4.1,4.9,4.4,5.9
P1590,5,7.8,3.9,7.4,4.1,5.6
P1590,6,6.1,6.5,8.0,3.6,7.1
P1590,7,7.3,5.5,5.1,6.2,5.6
P1590,8,5.3,7.8,4.6,6.7,5.1
P1590,9,7.2,6.6,4.7,7.0,4.4
P1590,10,7.9,4.8,7.6,6.7,6.2
P1590,11,7.2,4.1,3.6,7.3,3.8
P1590,12,7.3,4.7,7.0,4.4,6.3
P1591,1,7.9,5.7,4.4,5.9,4.5
P1591,2,7.4,5.8,3.4,7.0,5.0
P1591,3,6.7,6.2,5.0,6.1,5.1
P1591,4,7.0,3.7,5.2,6.5,4.1
P1591,5,7.3,4.3,4.6,7.1,4.2
P1591,6,6.8,5.1,4.3,4.6,5.2
P1591,7,7.7,3.2,7.6,5.5,5.8
P1591,8,8.4,5.3,4.9,5.5,6.6
P1591,9,5.8,5.5,7.2,7.0,5.3
P1591,10,7.5,5.8,4.3,6.4,5.2
P1591,11,7.3,2.6,6.8,6.1,6.1
P1591,12,6.6,5.2,6.8,5.9,5.0
P1592,1,6.9,7.3,6.6,4.3,8.1
P1592,2,6.8,6.4,6.1,6.0,7.4
P1592,3,6.3,6.6,6.6,6.6,9.0
P1592,4,9.0,2.8,6.4,6.0,4.8
P1592,5,7.2,5.5,7.1,5.0,5.8
P1592,6,6.5,3.8,6.3,4.4,7.5
P1592,7,7.3,4.8,5.4,5.9,5.3
P1592,8,7.6,4.3,5.4,6.9,5.3
P1592,9,7.6,6.2,6.7,3.5,6.9
P1592,10,5.9,6.2,9.0,4.5,8.2
P1592,11,7.6,5.9,6.2,5.5,4.4
P1592,12,8.3,3.4,4.8,6.1,3.2
P1593,1,7.3,6.1,5.7,6.5,4.5
P1593,2,7.2,6.4,7.0,6.0,6.5
P1593,3,6.7,5.4,5.3,5.6,3.9
P1593,4,6.8,6.8,6.0,5.8,6.5
P1593,5,6.9,6.6,6.6,4.7,7.0
P1593,6,6.9,7.1,5.8,4.9,7.6
P1593,7,8.9,4.9,6.8,5.0,5.4
P1593,8,7.0,4.6,6.0,5.7,5.6
P1593,9,7.5,5.2,5.9,5.4,5.6
P1593,10,7.4,5.1,5.2,4.4,5.5
P1593,11,7.1,7.2,5.5,5.3,5.6
P1593,12,8.0,4.1,6.2,5.5,5.3
P1594,1,6.6,4.0,4.5,7.3,4.1
P1594,2,8.1,4.2,4.9,4.8,5.6
P1594,3,7.1,4.6,4.5,6.5,6.7
P1594,4,7.5,3.0,4.1,6.5,4.9
P1594,5,7.1,3.0,4.6,6.1,4.0
P1594,6,7.4,4.7,3.2,4.6,2.6
P1594,7,7.9,4.7,2.8,6.9,5.4
P1594,8,7.2,4.9,4.5,6.7,3.2
P1594,9,6.6,3.6,3.6,8.2,2.6
P1594,10,8.0,4.2,4.6,7.4,4.4
P1594,11,6.8,5.2,2.6,6.0,4.5
P1594,12,7.1,4.8,4.1,6.5,4.4
P1595,1,6.5,5.7,7.0,4.5,7.2
P1595,2,6.8,6.2,5.9,4.0,6.3
P1595,3,6.2,4.9,7.5,4.2,5.0
P1595,4,6.6,5.3,3.2,5.8,3.7
P1595,5,8.0,4.2,3.1,6.8,2.8
P1595,6,7.2,6.0,3.2,4.5,4.5
P1595,7,6.7,5.2,6.0,5.3,6.4
P1595,8,7.3,4.8,5.9,5.0,3.5
P1595,9,7.8,3.6,7.8,3.7,5.7
P1595,10,7.6,3.1,7.7,4.3,5.4
P1595,11,6.6,5.6,6.7,5.0,7.1
P1595,12,6.7,5.4,5.6,5.1,4.8
P1596,1,6.0,5.2,6.9,3.6,5.9
P1596,2,6.3,5.9,5.9,5.8,6.7
P1596,3,5.6,6.6,6.3,4.9,6.8
P1596,4,5.2,8.0,6.6,4.6,7.4
P1596,5,7.4,2.2,7.3,4.1,5.2
P1596,6,6.9,4.8,6.5,4.9,5.5
P1596,7,7.2,3.2,2.8,7.6,3.7
P1596,8,6.6,5.1,3.9,5.5,4.8
P1596,9,6.4,6.6,4.1,6.5,4.0
P1596,10,7.3,3.8,6.9,4.7,6.0
P1596,11,5.5,6.1,5.2,4.4,6.3
P1596,12,7.8,3.0,5.4,5.4,4.8
P1597,1,8.1,3.6,2.8,5.0,3.8
P1597,2,7.1,3.0,4.0,8.5,1.8
P1597,3,8.2,1.0,4.6,6.6,3.2
P1597,4,7.1,2.6,3.0,6.8,2.5
P1597,5,6.9,2.6,4.4,5.7,3.3
P1597,6,5.7,3.3,4.2,7.2,4.4
P1597,7,8.3,1.7,7.1,4.6,4.4
P1597,8,6.3,4.7,2.1,6.0,3.7
P1597,9,8.3,1.7,2.2,6.7,2.3
P1597,10,7.0,2.9,4.2,4.9,4.5
P1597,11,7.2,3.4,2.4,4.1,3.9
P1597,12,6.3,5.9,4.7,4.8,5.4
P1598,1,6.4,6.2,6.0,5.1,6.6
P1598,2,8.1,5.1,4.4,5.8,4.6
P1598,3,7.3,4.0,4.4,6.6,3.1
P1598,4,7.5,4.0,4.2,4.5,3.8
P1598,5,7.0,6.4,4.4,6.0,3.8
P1598,6,7.7,3.0,6.3,4.8,5.8
P1598,7,6.4,5.9,5.2,4.8,5.2
P1598,8,7.4,4.5,4.0,6.2,4.1
P1598,9,5.0,6.2,7.4,3.8,6.4
P1598,10,6.9,4.9,5.7,4.0,4.6
P1598,11,7.0,3.0,5.1,7.4,3.2
P1598,12,8.4,4.3,4.2,6.0,3.9
P1599,1,7.7,2.2,6.4,7.1,6.1
P1599,2,5.8,5.9,5.7,3.8,5.9
P1599,3,6.3,6.4,4.6,6.2,4.7
P1599,4,7.3,3.3,8.7,2.3,6.6
P1599,5,7.0,6.5,6.3,5.9,5.4
P1599,6,4.9,7.6,4.7,6.5,5.3
P1599,7,6.7,6.4,8.1,3.7,6.5
P1599,8,7.0,5.4,5.3,5.4,5.2
P1599,9,6.8,5.3,5.6,5.1,4.5
P1599,10,5.5,6.6,6.5,5.2,4.9
P1599,11,5.6,6.3,4.3,6.9,5.7
P1599,12,6.1,6.4,6.8,3.8,6.8
P1600,1,7.6,1.3,1.4,7.9,1.1
P1600,2,6.9,1.9,3.3,6.9,2.5
P1600,3,6.8,5.3,1.1,9.8,2.4
P1600,4,8.3,4.2,1.4,7.8,3.7
P1600,5,7.3,1.1,3.6,5.9,1.9
P1600,6,5.4,4.7,4.0,5.5,4.5
P1600,7,8.1,1.0,4.7,5.4,4.3
P1600,8,5.5,5.2,2.8,7.5,2.2
P1600,9,6.8,3.1,6.0,7.0,6.3
P1600,10,5.2,5.6,3.4,6.5,4.9
P1600,11,7.2,4.7,4.0,7.8,4.9
P1600,12,7.7,2.0,4.1,9.0,2.1
P1601,1,8.7,2.8,3.9,7.0,4.6
P1601,2,8.0,4.0,2.4,7.6,3.1
P1601,3,6.6,5.0,4.1,6.0,3.9
P1601,4,5.9,4.1,3.8,6.1,3.3
P1601,5,6.6,5.1,4.2,6.2,4.1
P1601,6,6.1,5.4,4.2,5.9,4.4
P1601,7,7.4,1.5,5.5,5.7,4.0
P1601,8,8.1,3.9,4.9,4.8,4.8
P1601,9,6.8,4.3,3.7,6.6,2.9
P1601,10,6.9,2.8,7.6,4.4,5.9
P1601,11,6.7,3.7,5.4,5.8,4.8
P1601,12,4.7,5.2,2.5,7.6,4.7
P1602,1,7.3,5.2,5.3,3.9,3.9
P1602,2,9.0,2.5,6.6,5.7,6.3
P1602,3,7.6,4.5,6.2,5.1,4.8
P1602,4,8.2,5.2,2.3,7.3,3.8
P1602,5,6.5,5.2,8.7,3.5,7.1
P1602,6,7.2,5.3,4.4,5.2,4.3
P1602,7,8.5,2.7,5.3,4.0,4.6
P1602,8,7.2,3.7,7.9,3.7,5.9
P1602,9,7.4,3.9,5.2,5.7,3.6
P1602,10,5.1,8.2,8.6,3.0,8.2
P1602,11,6.5,4.2,7.9,4.7,6.3
P1602,12,7.7,4.7,6.5,4.9,5.0
P1603,1,7.7,6.6,5.7,4.6,6.4
P1603,2,7.0,6.0,7.7,1.7,8.1
P1603,3,5.5,9.4,10.0,2.9,8.3
P1603,4,7.5,6.1,6.3,3.5,5.0
P1603,5,7.6,5.4,6.5,5.2,5.4
P1603,6,6.1,6.9,5.3,5.2,6.4
P1603,7,6.1,8.6,8.2,3.8,7.9
P1603,8,6.5,7.3,5.2,6.4,5.8
P1603,9,8.1,6.3,7.5,3.5,6.2
P1603,10,6.5,6.9,4.4,4.9,5.4
P1603,11,7.2,7.3,4.8,4.5,5.6
P1603,12,7.2,7.7,7.7,5.5,8.9
P1604,1,8.5,3.6,7.1,5.5,7.7
P1604,2,6.1,5.5,3.1,6.9,4.7
P1604,3,7.0,6.0,5.0,6.1,5.4
P1604,4,6.8,5.7,5.5,4.9,7.5
P1604,5,9.0,1.6,6.0,5.5,3.9
P1604,6,7.8,4.0,3.8,5.8,4.7
P1604,7,7.2,4.4,6.8,7.2,5.4
P1604,8,5.6,5.9,1.1,6.3,1.9
P1604,9,5.9,5.0,5.5,7.5,4.2
P1604,10,7.1,6.8,7.7,3.2,8.3
P1604,11,6.8,2.4,5.9,4.5,4.8
P1604,12,6.8,3.4,3.4,7.5,3.5
P1605,1,7.0,2.5,3.3,6.9,3.2
P1605,2,5.4,2.0,3.4,5.9,1.9
P1605,3,7.4,1.0,3.3,6.0,2.2
P1605,4,6.3,2.6,2.2,7.5,2.6
P1605,5,8.1,3.0,2.0,6.5,3.6
P1605,6,6.3,3.1,2.4,7.4,3.3
P1605,7,6.3,1.7,4.8,4.5,2.3
P1605,8,5.4,4.3,5.7,6.0,5.8
P1605,9,7.8,2.7,1.0,7.7,2.3
P1605,10,7.0,1.9,2.4,6.9,1.6
P1605,11,7.5,2.2,1.0,7.3,1.4
P1605,12,4.8,5.0,1.0,7.8,2.5
P1606,1,7.0,3.3,7.1,5.5,5.1
P1606,2,7.1,5.4,5.9,5.7,6.2
P1606,3,6.8,5.7,6.0,5.1,5.8
P1606,4,6.9,3.7,4.7,5.8,3.4
P1606,5,7.0,4.6,5.7,6.5,4.9
P1606,6,6.7,6.4,6.4,4.3,6.7
P1606,7,6.9,5.2,5.8,4.9,5.6
P1606,8,7.6,4.9,5.5,4.2,3.8
P1606,9,7.1,4.9,4.1,6.8,3.6
P1606,10,7.3,4.4,3.8,5.4,2.6
P1606,11,6.6,6.3,4.5,5.4,5.1
P1606,12,6.3,6.8,5.4,6.8,6.4
P1607,1,7.8,3.3,4.4,6.6,3.3
P1607,2,6.7,4.9,5.0,3.4,4.8
P1607,3,5.7,4.7,1.2,6.7,2.7
P1607,4,5.4,3.3,5.8,3.9,4.7
P1607,5,6.9,4.3,2.3,6.2,3.6
P1607,6,7.7,4.1,4.6,7.0,5.0
P1607,7,7.1,4.6,1.6,6.3,1.6
P1607,8,6.6,2.6,4.0,5.8,4.1
P1607,9,6.0,5.1,3.0,6.0,4.3
P1607,10,8.1,1.0,4.1,7.3,3.2
P1607,11,7.7,1.6,6.1,7.6,5.4
P1607,12,7.6,4.8,5.2,3.4,4.4
P1608,1,7.0,4.5,8.5,3.5,6.6
P1608,2,7.7,3.9,6.3,3.7,6.1
P1608,3,7.2,3.9,2.7,6.1,3.6
P1608,4,8.1,2.1,4.2,6.3,3.7
P1608,5,5.8,5.5,3.4,5.2,4.5
P1608,6,6.9,5.1,6.5,4.8,6.2
P1608,7,7.3,6.0,8.2,4.2,8.0
P1608,8,6.7,4.2,2.1,7.4,3.0
P1608,9,5.9,5.8,7.0,6.6,6.7
P1608,10,6.0,5.6,3.6,6.0,6.0
P1608,11,8.0,4.0,3.9,5.6,5.0
P1608,12,5.0,7.4,5.8,4.7,7.3
P1609,1,6.8,4.8,4.6,6.3,4.8
P1609,2,5.8,8.0,6.6,4.7,8.5
P1609,3,7.5,2.1,5.9,4.1,5.1
P1609,4,6.2,6.3,3.7,6.0,6.1
P1609,5,6.8,4.3,4.4,5.6,3.6
P1609,6,6.7,4.5,5.2,5.2,4.9
P1609,7,7.0,1.8,3.2,8.3,1.7
P1609,8,7.3,4.9,5.8,3.5,5.7
P1609,9,7.6,3.5,4.8,5.7,5.4
P1609,10,6.1,4.2,2.0,7.9,2.2
P1609,11,6.7,3.8,6.2,5.1,6.3
P1609,12,6.9,5.4,7.5,2.6,7.3
P1610,1,4.5,6.2,3.7,6.7,2.8
P1610,2,6.0,5.2,3.4,7.9,5.0
P1610,3,8.8,3.9,4.4,6.0,4.7
P1610,4,7.0,3.7,4.7,6.0,3.5
P1610,5,5.8,5.9,3.2,6.3,3.1
P1610,6,6.2,6.2,4.1,5.8,4.0
P1610,7,5.5,6.2,3.9,6.5,4.2
P1610,8,7.3,1.3,4.3,6.2,4.7
P1610,9,7.1,5.3,3.5,7.7,4.5
P1610,10,7.7,2.3,5.3,3.8,4.4
P1610,11,6.5,4.6,1.5,6.2,1.0
P1610,12,7.9,2.9,6.4,3.9,4.5
P1611,1,6.8,4.3,4.0,6.8,3.1
P1611,2,7.6,3.9,5.9,5.4,5.8
P1611,3,7.3,5.7,4.4,5.4,4.4
P1611,4,6.0,7.7,4.6,7.1,6.3
P1611,5,7.4,3.3,4.4,6.9,2.9
P1611,6,7.7,4.1,6.6,6.2,5.4
P1611,7,7.0,5.8,5.1,4.6,5.3
P1611,8,7.0,3.8,4.4,6.3,4.9
P1611,9,6.9,7.2,4.6,6.0,6.2
P1611,10,9.0,3.2,4.8,7.1,3.9
P1611,11,7.3,5.3,7.6,5.0,6.9
P1611,12,7.4,5.2,4.4,5.1,4.6
P1612,1,6.8,6.0,5.5,4.7,5.9
P1612,2,8.2,4.2,7.3,4.7,7.4
P1612,3,6.2,7.4,7.3,4.7,7.2
P1612,4,7.4,6.0,5.0,5.9,6.7
P1612,5,5.6,7.8,7.5,3.3,7.4
P1612,6,8.1,4.6,7.2,6.6,5.2
P1612,7,7.4,4.6,4.4,6.6,3.7
P1612,8,7.6,3.5,4.2,5.5,4.7
P1612,9,6.9,4.7,5.1,5.7,4.8
P1612,10,7.7,6.2,5.9,4.4,5.5
P1612,11,7.9,5.6,5.6,6.4,5.7
P1612,12,7.3,5.7,7.4,4.9,7.6
P1613,1,7.8,3.9,5.8,2.5,4.6
P1613,2,8.3,4.9,4.8,4.6,5.8
P1613,3,7.2,4.6,3.7,5.7,4.1
P1613,4,7.6,4.6,5.3,5.5,3.7
P1613,5,7.1,4.1,5.8,5.9,6.0
P1613,6,6.4,6.2,6.1,4.5,5.9
P1613,7,6.5,4.1,3.1,6.5,3.4
P1613,8,6.6,5.9,3.7,6.3,4.5
P1613,9,6.7,5.9,2.8,6.8,4.5
P1613,10,7.9,3.4,5.7,5.6,4.5
P1613,11,5.8,5.2,5.4,6.3,5.2
P1613,12,7.7,4.5,5.4,5.5,5.8
P1614,1,8.3,4.7,7.6,6.0,6.8
P1614,2,7.3,2.5,5.7,7.2,4.0
P1614,3,7.5,6.0,4.7,7.1,6.5
P1614,4,6.6,5.1,5.7,4.7,5.5
P1614,5,7.6,3.0,4.7,5.4,3.6
P1614,6,6.8,5.3,6.1,3.7,6.1
P1614,7,5.5,6.9,6.7,3.1,6.5
P1614,8,7.5,4.6,6.3,3.5,5.3
P1614,9,7.8,4.5,9.0,4.8,7.3
P1614,10,6.3,4.7,8.4,5.7,6.2
P1614,11,7.4,4.9,6.4,5.5,6.3
P1614,12,6.8,4.7,6.9,5.9,7.2
P1615,1,7.0,7.4,8.3,3.5,7.4
P1615,2,7.2,5.1,4.3,5.4,4.2
P1615,3,5.9,7.0,5.2,4.0,7.2
P1615,4,7.4,6.4,7.5,5.4,6.9
P1615,5,6.4,6.4,5.1,3.9,5.6
P1615,6,7.3,5.3,4.1,6.9,5.4
P1615,7,7.1,5.8,6.2,5.8,6.0
P1615,8,7.4,6.7,7.7,4.0,7.5
P1615,9,7.2,6.2,8.0,5.4,6.3
P1615,10,6.7,5.7,8.8,5.1,7.4
P1615,11,8.8,5.6,10.0,4.7,9.2
P1615,12,6.9,6.7,7.2,3.9,8.0
P1616,1,7.8,4.7,7.2,6.9,5.9
P1616,2,8.6,2.7,4.2,5.8,3.4
P1616,3,6.4,3.1,2.1,5.3,3.1
P1616,4,8.0,3.9,3.2,8.6,4.9
P1616,5,7.6,4.4,4.6,6.4,4.8
P1616,6,5.4,5.2,5.6,8.0,5.8
P1616,7,6.6,2.2,2.8,8.2,2.9
P1616,8,8.0,1.6,2.8,6.5,2.3
P1616,9,6.5,3.1,4.3,7.5,3.4
P1616,10,6.3,5.0,2.0,6.8,3.3
P1616,11,7.0,4.1,5.1,6.0,5.1
P1616,12,6.1,5.6,5.7,5.2,5.1
P1617,1,8.6,3.9,5.0,5.7,4.4
P1617,2,7.3,6.8,5.2,5.0,6.5
P1617,3,6.5,6.4,3.7,6.1,5.2
P1617,4,6.7,4.9,6.7,6.4,4.6
P1617,5,6.8,5.1,6.0,6.2,6.3
P1617,6,6.3,6.1,5.8,6.1,5.0
P1617,7,8.0,3.7,7.1,5.5,3.9
P1617,8,6.2,3.5,4.4,4.7,5.6
P1617,9,7.2,3.9,6.7,4.4,6.4
P1617,10,6.4,6.5,3.7,5.8,4.4
P1617,11,6.2,5.2,4.9,7.1,3.4
P1617,12,6.8,6.6,8.2,5.6,7.5
P1618,1,6.3,3.1,3.3,7.3,3.7
P1618,2,5.7,4.7,6.1,5.0,6.0
P1618,3,5.8,4.5,4.4,5.3,4.7
P1618,4,7.6,3.5,7.3,4.8,6.0
P1618,5,7.8,4.2,2.6,7.5,2.6
P1618,6,7.2,4.1,1.4,6.9,2.0
P1618,7,7.8,2.6,4.8,5.9,4.5
P1618,8,8.3,2.7,5.4,4.7,5.5
P1618,9,7.7,4.0,6.0,5.7,6.0
P1618,10,6.4,5.3,3.6,7.5,4.8
P1618,11,8.0,2.6,5.6,5.7,5.4
P1618,12,7.2,4.8,2.1,6.4,2.9
P1619,1,7.1,4.5,2.7,7.3,2.6
P1619,2,8.4,2.9,5.7,5.4,6.1
P1619,3,7.4,3.8,3.6,5.5,3.8
P1619,4,7.4,5.4,6.7,3.7,7.7
P1619,5,7.7,2.1,7.0,3.9,5.2
P1619,6,7.3,2.6,5.4,5.7,4.6
P1619,7,7.9,3.2,6.2,4.7,4.7
P1619,8,6.1,4.6,1.7,6.8,2.0
P1619,9,7.1,3.6,3.7,7.8,3.5
P1619,10,7.6,3.1,3.7,6.5,2.2
P1619,11,6.5,4.2,6.8,5.9,6.0
P1619,12,7.8,4.4,7.4,4.9,6.2
P1620,1,6.8,4.1,6.8,2.9,4.9
P1620,2,5.7,6.7,7.9,4.0,7.1
P1620,3,7.7,3.6,6.6,4.9,5.3
P1620,4,7.2,3.9,7.5,4.2,5.7
P1620,5,6.9,6.1,4.2,5.5,4.0
P1620,6,6.0,6.1,3.9,7.0,5.2
P1620,7,7.3,7.4,5.9,6.0,5.9
P1620,8,5.9,7.2,3.9,6.9,5.0
P1620,9,7.2,4.6,8.3,4.5,6.7
P1620,10,6.6,5.2,7.4,5.7,7.7
P1620,11,6.1,6.2,8.7,3.6,6.9
P1620,12,6.6,4.8,4.2,5.8,4.3
P1621,1,6.1,5.8,5.8,4.4,4.4
P1621,2,5.6,7.3,7.9,3.7,7.9
P1621,3,6.0,5.2,5.1,5.3,5.8
P1621,4,6.5,5.1,5.8,3.9,4.8
P1621,5,7.0,5.3,2.8,7.9,2.1
P1621,6,7.6,4.3,3.7,5.8,4.5
P1621,7,6.8,7.1,2.6,7.1,4.8
P1621,8,6.8,6.4,4.1,4.8,5.3
P1621,9,7.6,2.7,8.4,3.7,5.4
P1621,10,7.0,5.5,5.6,4.8,5.9
P1621,11,5.8,4.9,5.6,4.9,5.8
P1621,12,6.9,2.3,6.5,5.7,6.5
P1622,1,6.8,6.6,5.6,4.6,5.7
P1622,2,7.9,5.4,9.2,6.2,7.4
P1622,3,7.2,6.4,5.4,4.6,6.3
P1622,4,7.8,5.8,7.9,2.5,6.5
P1622,5,6.3,6.5,9.3,3.9,9.7
P1622,6,6.9,6.5,5.6,4.0,7.7
P1622,7,6.4,6.3,5.3,5.1,5.9
P1622,8,5.4,8.4,5.9,4.0,7.4
P1622,9,7.5,7.4,7.2,3.2,6.8
P1622,10,7.0,5.9,7.3,2.4,7.7
P1622,11,7.2,5.9,6.3,5.9,6.1
P1622,12,6.9,7.1,5.6,6.7,6.3
P1623,1,8.5,1.8,5.1,8.0,3.2
P1623,2,6.5,7.1,1.9,6.7,3.5
P1623,3,5.1,6.5,1.9,7.4,3.8
P1623,4,7.0,3.7,1.8,7.8,2.3
P1623,5,5.4,6.5,5.6,5.6,6.6
P1623,6,7.0,3.8,2.6,6.4,3.3
P1623,7,5.6,5.2,4.8,5.8,5.3
P1623,8,6.6,3.2,3.6,8.1,3.3
P1623,9,6.7,4.8,5.0,5.2,4.2
P1623,10,7.9,1.9,5.4,4.4,2.4
P1623,11,8.5,2.7,5.2,5.5,4.2
P1623,12,7.8,5.1,4.4,4.4,3.7
P1624,1,6.5,5.0,3.6,5.9,4.8
P1624,2,5.9,6.8,7.0,5.4,7.1
P1624,3,7.6,5.0,6.4,4.5,5.2
P1624,4,6.5,6.5,5.9,5.4,6.1
P1624,5,7.1,6.2,5.0,5.2,4.4
P1624,6,7.6,2.8,7.3,3.8,5.5
P1624,7,7.0,6.8,4.9,3.4,6.2
P1624,8,5.2,6.5,4.9,4.8,5.3
P1624,9,7.3,7.7,8.3,2.6,8.3
P1624,10,8.1,4.7,7.1,3.6,6.3
P1624,11,8.0,3.6,5.9,3.4,5.4
P1624,12,7.4,5.9,6.2,4.3,7.2
P1625,1,6.9,4.8,5.3,6.9,5.8
P1625,2,8.4,3.2,4.3,6.0,4.4
P1625,3,7.4,4.2,4.7,5.9,3.8
P1625,4,7.1,4.7,4.8,4.9,4.8
P1625,5,7.4,2.5,2.7,8.0,2.5
P1625,6,6.0,3.7,3.5,5.9,3.1
P1625,7,6.3,5.1,5.6,5.4,5.6
P1625,8,7.5,4.9,6.7,3.3,6.6
P1625,9,9.0,2.2,3.2,6.6,2.2
P1625,10,6.5,3.9,3.7,6.6,2.4
P1625,11,6.8,5.5,6.2,4.5,5.9
P1625,12,8.2,2.4,3.7,7.2,2.9
P1626,1,9.0,1.0,3.3,5.8,2.4
P1626,2,6.2,5.0,2.9,9.2,3.8
P1626,3,7.0,3.8,5.3,6.5,4.7
P1626,4,6.9,3.2,2.3,5.4,3.1
P1626,5,7.3,3.4,3.1,6.7,2.0
P1626,6,6.3,4.2,5.5,7.3,4.3
P1626,7,6.1,4.2,4.0,6.0,4.4
P1626,8,7.1,2.1,6.2,5.0,4.9
P1626,9,8.0,1.0,3.6,6.3,3.2
P1626,10,6.1,4.2,1.0,8.4,1.8
P1626,11,6.8,3.0,2.9,6.6,2.1
P1626,12,6.3,4.1,3.5,6.9,2.8
P1627,1,7.2,2.6,2.9,8.5,2.6
P1627,2,5.5,4.2,4.8,5.7,3.9
P1627,3,7.0,2.1,2.2,7.1,2.3
P1627,4,7.0,2.4,1.5,9.1,1.3
P1627,5,7.7,2.1,2.2,5.1,3.9
P1627,6,7.7,1.0,1.9,6.5,2.7
P1627,7,7.9,1.0,2.2,7.7,2.4
P1627,8,6.5,2.8,6.1,5.2,4.5
P1627,9,6.0,3.1,5.0,6.5,3.7
P1627,10,6.5,4.2,2.9,7.3,3.5
P1627,11,7.7,2.4,2.2,5.6,1.5
P1627,12,7.3,3.2,4.5,6.9,2.4
P1628,1,7.5,2.1,1.9,8.2,2.8
P1628,2,6.6,4.2,1.0,9.0,3.0
P1628,3,6.7,4.0,4.6,5.0,4.9
P1628,4,7.3,2.8,2.8,5.8,2.2
P1628,5,9.0,1.7,4.8,7.4,3.2
P1628,6,7.1,3.4,3.7,8.1,1.8
P1628,7,7.1,4.7,4.6,4.5,5.7
P1628,8,6.2,3.1,7.3,2.6,5.4
P1628,9,8.0,3.8,1.3,6.4,1.4
P1628,10,8.8,1.0,2.6,8.1,2.6
P1628,11,7.8,3.4,2.7,7.9,3.0
P1628,12,7.2,3.7,2.4,7.7,2.8
P1629,1,6.5,5.5,4.2,5.7,4.8
P1629,2,8.2,2.5,3.9,6.9,3.5
P1629,3,5.8,3.3,4.4,5.8,4.6
P1629,4,6.3,3.5,4.6,6.5,3.7
P1629,5,6.9,5.7,4.0,8.1,5.3
P1629,6,5.8,3.5,1.0,7.7,1.8
P1629,7,5.8,2.8,5.6,5.5,4.6
P1629,8,6.8,2.9,3.1,5.8,3.4
P1629,9,7.5,2.9,3.3,8.3,2.6
P1629,10,6.3,4.3,4.6,7.1,6.1
P1629,11,5.2,5.7,1.9,7.4,4.7
P1629,12,7.4,1.7,5.5,7.0,4.7
P1630,1,6.7,5.5,6.5,6.7,5.5
P1630,2,6.2,5.8,6.6,5.9,6.7
P1630,3,7.7,2.8,3.4,6.1,1.4
P1630,4,7.7,2.6,6.8,3.6,5.6
P1630,5,6.2,5.0,4.1,6.2,5.2
P1630,6,7.0,4.8,4.0,6.1,3.6
P1630,7,6.5,5.4,5.9,4.9,5.1
P1630,8,7.3,7.1,6.6,4.2,6.1
P1630,9,6.5,4.8,5.6,5.5,5.6
P1630,10,7.9,3.2,5.3,5.5,5.6
P1630,11,7.6,4.8,5.4,4.1,5.6
P1630,12,5.7,5.5,5.9,7.5,6.3
P1631,1,6.9,2.8,1.5,5.7,3.6
P1631,2,6.9,2.3,2.5,6.3,3.5
P1631,3,7.8,1.6,6.6,5.1,5.4
P1631,4,7.4,4.7,3.8,7.3,3.9
P1631,5,7.3,3.5,4.6,6.3,3.0
P1631,6,5.9,5.5,5.6,7.0,5.3
P1631,7,8.4,1.4,2.2,7.4,3.2
P1631,8,5.8,5.2,1.4,6.1,3.6
P1631,9,7.4,5.8,3.0,5.5,3.6
P1631,10,7.9,3.0,4.5,5.9,5.2
P1631,11,7.1,3.9,4.1,7.6,3.9
P1631,12,6.1,4.7,2.6,6.6,3.0
P1632,1,6.5,3.2,4.1,5.8,3.5
P1632,2,6.9,4.6,1.0,7.3,2.2
P1632,3,7.2,4.2,3.9,7.4,4.6
P1632,4,8.6,3.7,6.3,7.0,5.7
P1632,5,6.0,5.6,3.7,5.4,3.4
P1632,6,7.8,2.7,4.3,6.4,3.9
P1632,7,6.8,4.0,6.8,4.0,6.6
P1632,8,7.3,4.4,5.8,5.3,5.6
P1632,9,6.2,4.7,5.4,6.9,5.4
P1632,10,6.8,4.4,3.4,4.3,4.7
P1632,11,7.2,3.4,5.9,4.5,5.0
P1632,12,7.2,3.7,6.1,4.7,5.4
P1633,1,6.4,5.7,6.4,7.5,6.0
P1633,2,7.2,5.1,5.4,5.9,7.4
P1633,3,6.8,3.7,5.8,7.0,6.1
P1633,4,7.6,6.0,3.7,5.6,3.9
