personnel_id,deployment_days,deployment_frequency,operational_exposure
P1395,54,0,10
P1396,6,1,10
P1397,33,2,4
P1398,106,6,1
P1399,99,3,1
P1400,28,2,1
P1401,113,4,7
P1402,37,3,3
P1403,85,2,6
P1404,10,0,3
P1405,56,3,10
P1406,64,2,1
P1407,24,1,8
P1408,11,2,2
P1409,80,1,10
P1410,8,2,5
P1411,88,2,9
P1412,49,4,3
P1413,99,3,9
P1414,82,0,3
P1415,3,0,1
P1416,46,6,6
P1417,97,0,3
P1418,38,2,2
P1419,75,2,2
P1420,17,3,10
P1421,83,1,5
P1422,70,5,7
P1423,107,1,6
P1424,39,1,10
P1425,58,1,1
P1426,98,3,1
P1427,62,4,3
P1428,106,1,6
P1429,67,0,10
P1430,107,2,7
P1431,81,1,10
P1432,58,2,7
P1433,53,3,4
P1434,63,0,6
P1435,82,2,8
P1436,58,3,8
P1437,49,2,7
P1438,59,2,10
P1439,25,1,10
P1440,44,3,10
P1441,76,2,1
P1442,101,1,8
P1443,65,3,9
P1444,39,1,6
P1445,118,1,1
P1446,9,2,10
P1447,38,1,4
P1448,23,1,9
P1449,48,0,4
P1450,66,3,1
P1451,101,2,9
P1452,44,4,7
P1453,52,5,6
P1454,5,3,5
P1455,43,3,10
P1456,61,5,6
P1457,28,1,9
P1458,37,0,3
P1459,38,2,8
P1460,3,3,1
P1461,25,0,2
P1462,87,0,2
P1463,0,1,8
P1464,35,1,6
P1465,25,3,6
P1466,2,1,10
P1467,80,0,1
P1468,17,1,4
P1469,103,2,5
P1470,54,0,10
P1471,29,0,5
P1472,63,1,7
P1473,100,5,1
P1474,101,3,2
P1475,49,1,1
P1476,11,4,8
P1477,52,4,3
P1478,54,1,5
P1479,88,6,9
P1480,70,1,8
P1481,26,2,1
P1482,94,1,4
P1483,91,4,2
P1484,44,3,1
P1485,51,1,5
P1486,8,2,8
P1487,43,1,8
P1488,33,2,4
P1489,104,3,6
P1490,0,0,9
P1491,30,1,6
P1492,120,4,1
P1493,97,1,2
P1494,110,3,6
P1495,79,2,8
P1496,6,2,6
P1497,90,1,3
P1498,28,3,4
P1499,89,1,7
P1500,12,1,9
P1501,1,3,9
P1502,38,1,8
P1503,63,3,3
P1504,3,3,9
P1505,116,3,6
P1506,29,4,4
P1507,11,4,3
P1508,71,3,4
P1509,57,1,8
P1510,11,3,7
P1511,63,4,10
P1512,72,1,4
P1513,107,3,6
P1514,16,2,10
P1515,111,6,10
P1516,35,2,3
P1517,11,1,5
P1518,5,3,4
P1519,45,3,6
P1520,29,1,4
P1521,98,0,4
P1522,87,1,7
P1523,65,1,4
P1524,8,2,10
P1525,102,2,7
P1526,33,2,4
P1527,99,2,8
P1528,35,2,1
P1529,29,0,1
P1530,114,2,1
P1531,41,1,3
P1532,60,4,4
P1533,63,0,10
P1534,10,1,2
P1535,93,2,10
P1536,24,1,1
P1537,84,4,1
P1538,100,2,6
P1539,35,2,8
P1540,66,5,9
P1541,93,2,5
P1542,94,4,1
P1543,77,1,1
P1544,48,1,7
P1545,108,5,2
P1546,21,1,7
P1547,71,1,10
P1548,116,3,4
P1549,107,0,6
P1550,2,1,5
P1551,44,0,2
P1552,70,2,4
P1553,107,1,6
P1554,5,3,2
P1555,58,6,10
P1556,30,2,2
P1557,102,3,8
P1558,15,2,2
P1559,92,3,10
P1560,19,1,3
P1561,7,4,3
P1562,101,4,9
P1563,40,3,9
P1564,28,4,3
P1565,69,0,7
P1566,117,1,5
P1567,119,2,1
P1568,17,2,6
P1569,94,3,1
P1570,79,2,5
P1571,24,2,3
P1572,86,5,10
P1573,66,2,6
P1574,15,0,5
P1575,92,2,10
P1576,97,0,3
P1577,5,0,9
P1578,100,2,1
P1579,40,0,4
P1580,41,5,5
P1581,99,4,2
P1582,83,0,8
P1583,106,2,9
P1584,39,2,5
P1585,24,6,4
P1586,66,1,6
P1587,97,3,10
P1588,52,1,3
P1589,52,1,3
P1590,28,2,1
P1591,55,1,3
P1592,37,2,5
P1593,96,6,7
P1594,26,2,9
P1595,32,1,5
P1596,67,1,10
P1597,44,0,3
P1598,6,1,4
P1599,100,1,2
P1600,42,3,2
P1601,104,4,6
P1602,26,2,5
P1603,46,2,10
P1604,18,3,2
P1605,1,1,4
P1606,13,1,10
P1607,25,3,4
P1608,41,3,10
P1609,62,1,10
P1610,102,1,8
P1611,120,0,1
P1612,110,2,10
P1613,113,2,2
P1614,25,3,6
P1615,21,2,2
P1616,35,4,4
P1617,78,1,8
P1618,35,1,4
P1619,120,4,10
P1620,2,1,4
P1621,67,2,3
P1622,80,3,3
P1623,7,2,4
P1624,54,2,3
P1625,36,4,3
P1626,25,0,4
P1627,111,2,5
P1628,106,0,4
P1629,39,2,3
P1630,52,2,5
P1631,104,0,3
P1632,61,1,4
P1633,83,2,4
P1634,16,4,4
P1635,56,0,10
P1636,1,2,4
P1637,73,3,2
P1638,99,0,1
P1639,103,2,3
P1640,91,2,5
P1641,11,1,4
P1642,105,2,9
P1643,10,0,1
P1644,27,1,10
P1645,15,1,5
P1646,118,1,1
P1647,85,2,10
P1648,37,3,2
P1649,32,2,10
P1650,92,0,4
P1651,9,4,6
P1652,73,3,6
P1653,35,0,8
P1654,119,2,6
P1655,110,0,9
P1656,75,0,5
P1657,118,1,10
P1658,10,1,2
P1659,73,2,2
P1660,15,2,5
P1661,91,4,3
P1662,79,2,7
P1663,7,2,2
P1664,111,0,2
P1665,48,1,2
P1666,50,1,3
P1667,62,0,8
P1668,105,2,5
P1669,25,2,9
P1670,6,0,9
P1671,114,2,10
P1672,81,2,9
P1673,96,1,3
P1674,46,2,9
P1675,29,0,2
P1676,32,3,6
P1677,100,0,5
P1678,35,2,9
P1679,27,2,4
P1680,107,2,4
P1681,108,2,6
P1682,118,2,6
P1683,78,1,2
P1684,78,5,9
P1685,55,3,4
P1686,20,1,8
P1687,106,1,4
P1688,34,1,9
P1689,23,1,3
P1690,59,3,7
P1691,74,0,4
P1692,34,2,5
P1693,16,1,5
P1694,119,1,7
P1695,36,1,4
P1696,119,2,2
P1697,100,3,5
P1698,42,4,8
P1699,64,2,4
P1700,68,1,2
P1701,93,3,6
P1702,97,1,10
P1703,51,3,10
P1704,25,3,8
P1705,17,2,7
P1706,95,5,3
P1707,83,4,4
P1708,55,2,7
P1709,44,1,2
P1710,4,7,2
P1711,42,1,10
P1712,36,3,1
P1713,120,0,4
P1714,72,2,5
P1715,119,1,5
P1716,83,1,3
P1717,49,5,6
P1718,56,1,6
P1719,6,1,3
P1720,85,4,8
P1721,66,2,2
P1722,19,1,2
P1723,104,6,5
P1724,42,1,8
P1725,1,3,6
P1726,50,2,5
P1727,109,3,2
P1728,97,2,7
P1729,63,4,7
P1730,12,1,9
P1731,43,3,4
P1732,62,5,10
P1733,117,4,6
P1734,105,2,9
P1735,39,1,1
P1736,75,4,1
P1737,114,2,7
P1738,63,6,7
P1739,115,3,1
P1740,12,5,2
P1741,48,1,3
P1742,75,4,5
P1743,55,4,8
P1744,109,3,8
P1745,83,1,10
P1746,69,3,4
P1747,46,2,1
P1748,57,1,9
P1749,0,4,10
P1750,36,2,7
P1751,68,1,8
P1752,28,2,7
P1753,85,2,8
P1754,75,2,2
P1755,73,2,3
P1756,83,2,6
P1757,73,3,4
P1758,58,0,10
P1759,17,1,10
P1760,83,4,7
P1761,21,1,8
P1762,12,3,10
P1763,12,1,10
P1764,69,1,4
P1765,74,2,4
P1766,49,0,1
P1767,94,2,8
P1768,83,4,3
P1769,50,2,8
P1770,42,4,7
P1771,40,3,9
P1772,61,2,1
P1773,9,4,5
P1774,93,5,5
P1775,15,1,10
P1776,15,2,7
P1777,58,1,3
P1778,20,1,1
P1779,24,3,7
P1780,34,1,3
P1781,116,0,1
P1782,34,1,7
P1783,22,3,9
P1784,108,0,4
P1785,95,1,10
P1786,101,3,2
P1787,46,1,5
P1788,51,3,10
P1789,110,1,9
P1790,91,5,8
P1791,35,3,10
P1792,15,2,5
P1793,31,1,8
P1794,106,2,10
P1795,90,0,7
P1796,26,0,9
P1797,71,3,10
P1798,46,3,5
P1799,15,0,7
P1800,40,2,5
P1801,50,0,7
P1802,35,2,4
P1803,45,3,9
P1804,15,1,8
P1805,50,3,4
P1806,97,4,6
P1807,12,4,8
P1808,50,2,5
P1809,17,2,10
P1810,120,3,2
P1811,89,2,2
P1812,120,0,6
P1813,119,0,9
P1814,70,4,10
P1815,62,1,3
P1816,66,1,10
P1817,89,1,6
P1818,107,3,4
P1819,102,2,8
P1820,84,0,6
P1821,82,2,1
P1822,99,1,8
P1823,96,5,3
P1824,101,1,2
P1825,43,2,7
P1826,43,1,10
P1827,58,2,2
P1828,18,3,8
P1829,27,3,9
P1830,17,0,10
P1831,2,1,1
P1832,91,2,8
P1833,3,2,7
P1834,63,2,1
P1835,12,1,10
P1836,24,1,5
P1837,117,1,7
P1838,66,5,4
P1839,4,3,1
P1840,49,2,5
P1841,6,2,7
P1842,17,4,10
P1843,25,1,3
P1844,3,2,10
P1845,117,4,9
P1846,82,4,6
P1847,54,1,7
P1848,80,1,1
P1849,101,1,10
P1850,105,5,7
P1851,87,2,7
P1852,59,1,3
P1853,21,3,3
P1854,112,2,8
P1855,66,2,8
P1856,97,1,8
P1857,66,1,3
P1858,23,1,8
P1859,85,0,1
P1860,18,2,6
P1861,48,1,2
P1862,11,2,8
P1863,37,0,3
P1864,116,2,2
P1865,114,6,3
P1866,76,5,10
P1867,101,0,8
P1868,47,3,6
P1869,53,3,10
P1870,48,4,7
P1871,116,1,6
P1872,64,0,6
P1873,51,2,2
P1874,34,2,9
P1875,100,4,1
P1876,40,2,9
P1877,120,2,6
P1878,96,1,7
P1879,39,1,4
P1880,25,1,7
P1881,40,4,1
P1882,22,3,6
P1883,57,2,4
P1884,112,1,5
P1885,16,2,2
P1886,15,5,2
P1887,93,1,6
P1888,55,2,4
P1889,79,1,7
P1890,22,3,5
P1891,89,0,6
P1892,9,0,4
P1893,29,2,9
P1894,99,0,10
P1895,37,2,5
P1896,26,1,2
P1897,12,3,6
P1898,27,4,7
P1899,14,2,2
P1900,30,3,10
P1901,1,3,6
P1902,20,0,1
P1903,115,1,6
P1904,1,5,9
P1905,9,1,2
P1906,104,1,3
P1907,19,4,8
P1908,42,2,5
P1909,9,2,4
P1910,32,0,9
P1911,12,4,3
P1912,108,2,9
P1913,102,4,9
P1914,80,2,10
P1915,3,3,1
P1916,117,2,4
P1917,15,4,5
P1918,3,6,4
P1919,7,3,6
P1920,17,2,8
P1921,10,2,3
P1922,1,1,8
P1923,62,2,10
P1924,80,1,2
P1925,68,1,10
P1926,53,0,6
P1927,57,3,1
P1928,35,3,4
P1929,87,2,8
P1930,58,1,6
P1931,25,5,8
P1932,104,3,9
P1933,20,4,1
P1934,91,1,1
P1935,31,4,5
P1936,28,4,7
P1937,34,2,2
P1938,15,2,10
P1939,25,1,7
P1940,24,2,2
P1941,117,1,2
P1942,114,1,10
P1943,108,1,5
P1944,68,1,7
P1945,64,3,4
P1946,4,3,10
P1947,21,3,5
P1948,54,2,10
P1949,2,3,6
P1950,34,1,4
P1951,41,1,6
P1952,74,2,3
P1953,16,0,1
P1954,15,2,8
P1955,109,1,6
P1956,83,4,1
P1957,72,1,8
P1958,20,2,2
P1959,21,1,8
P1960,11,4,4
P1961,0,1,2
P1962,41,0,4
P1963,90,3,7
P1964,80,2,4
P1965,6,1,10
P1966,73,0,1
P1967,104,1,7
P1968,92,3,7
P1969,42,1,3
P1970,82,2,1
P1971,1,0,10
P1972,105,2,5
P1973,116,1,8
P1974,88,4,5
P1975,86,1,6
P1976,61,1,3
P1977,91,1,5
P1978,55,3,5
P1979,29,0,1
P1980,108,3,3
P1981,107,2,3
P1982,4,1,8
P1983,5,2,4
P1984,31,2,2
P1985,76,0,8
P1986,2,3,9
P1987,27,2,5
P1988,96,4,9
P1989,115,3,3
P1990,87,1,5
P1991,16,1,3
P1992,90,3,8
P1993,56,4,8
P1994,75,1,8
P1995,107,0,7
P1996,48,0,7
P1997,61,4,10
P1998,76,1,1
P1999,40,2,4
P2000,36,0,9
P2001,87,1,6
P2002,30,1,10
P2003,48,4,5
P2004,51,1,1
P2005,2,5,9
P2006,2,2,5
P2007,70,0,7
P2008,0,2,9
P2009,91,1,3
P2010,58,0,8
P2011,65,1,9
P2012,108,1,2
P2013,61,1,1
P2014,59,5,4
P2015,62,2,1
P2016,98,1,2
P2017,76,2,2
P2018,1,2,3
P2019,109,4,7
P2020,104,1,5
P2021,111,0,1
P2022,69,1,3
P2023,108,2,8
P2024,11,1,9
P2025,96,2,1
P2026,82,0,5
P2027,46,0,9
P2028,94,3,6
P2029,16,3,1
P2030,10,1,9
P2031,118,3,7
P2032,43,0,6
P2033,113,1,2
P2034,102,4,9
P2035,106,2,7
P2036,80,2,2
P2037,16,1,10
P2038,67,1,3
P2039,0,3,8
P2040,98,6,7
P2041,25,1,9
P2042,22,0,5
P2043,98,2,9
P2044,24,0,6
P2045,13,4,4
P2046,7,4,6
P2047,0,4,8
P2048,22,3,5
P2049,67,1,10
P2050,2,2,2
P2051,88,1,5
P2052,14,4,5
P2053,57,0,10
P2054,115,1,4
P2055,77,3,6
P2056,40,3,6
P2057,101,2,7
P2058,92,4,10
P2059,13,0,6
P2060,74,2,4
P2061,120,2,5
P2062,81,3,2
P2063,25,4,7
P2064,99,2,4
P2065,17,2,4
P2066,40,2,7
P2067,97,1,3
P2068,7,3,8
P2069,110,1,5
P2070,18,3,10
P2071,53,2,10
P2072,43,4,8
P2073,49,4,5
P2074,79,1,7
P2075,51,2,8
P2076,78,3,6
P2077,17,1,4
P2078,16,3,5
P2079,89,3,2
P2080,60,2,5
P2081,17,0,5
P2082,1,1,6
P2083,96,3,7
P2084,51,1,3
P2085,67,4,4
P2086,105,3,3
P2087,0,0,5
P2088,113,1,3
P2089,90,4,9
P2090,40,0,6
P2091,52,3,5
P2092,90,4,6
P2093,19,3,10
P2094,69,1,7
P2095,108,2,6
P2096,29,3,8
P2097,21,3,5
P2098,23,1,6
P2099,47,0,6
P2100,87,1,4
P2101,66,3,10
P2102,78,3,10
P2103,110,2,1
P2104,120,4,6
P2105,51,3,9
P2106,114,3,4
P2107,64,3,10
P2108,2,5,4
P2109,61,2,2
P2110,98,3,10
P2111,97,2,8
P2112,46,0,2
P2113,18,3,9
P2114,80,1,5
P2115,93,1,5
P2116,85,4,4
P2117,92,3,1
P2118,97,4,3
P2119,50,4,1
P2120,100,0,1
P2121,56,1,2
P2122,17,0,4
P2123,46,3,3
P2124,49,2,8
P2125,28,1,1
P2126,18,1,3
P2127,95,1,4
P2128,116,0,4
P2129,95,2,1
P2130,119,2,1
P2131,88,0,4
P2132,54,0,2
P2133,40,0,4
P2134,87,3,6
P2135,38,1,7
P2136,109,4,10
P2137,14,1,3
P2138,102,3,4
P2139,50,1,1
P2140,52,1,10
P2141,67,2,10
P2142,61,1,10
P2143,48,1,9
P2144,40,2,9
P2145,34,2,6
P2146,98,5,10
P2147,25,2,7
P2148,71,2,7
P2149,83,3,8
P2150,28,2,8
P2151,1,3,6
P2152,17,4,5
P2153,115,1,2
P2154,94,2,5
P2155,14,2,1
P2156,34,3,4
P2157,3,1,4
P2158,38,1,9
P2159,54,1,2
P2160,85,0,1
P2161,79,4,3
P2162,110,0,8
P2163,98,3,10
P2164,0,0,5
P2165,61,1,1
P2166,78,1,8
P2167,30,2,8
P2168,85,0,8
P2169,110,3,4
P2170,90,3,5
P2171,108,0,8
P2172,68,1,7
P2173,85,1,4
P2174,31,2,5
P2175,82,3,1
P2176,29,2,5
P2177,14,2,7
P2178,54,6,6
P2179,85,1,9
P2180,41,1,9
P2181,113,2,3
P2182,65,2,8
P2183,106,2,2
P2184,24,1,2
P2185,79,1,1
P2186,114,3,2
P2187,100,2,9
P2188,64,1,3
P2189,37,3,5
P2190,12,1,6
P2191,69,3,8
P2192,3,1,8
P2193,63,0,6
P2194,119,3,7
P2195,95,4,5
P2196,57,0,3
P2197,40,0,4
P2198,83,1,5
P2199,20,4,8
P2200,11,1,5
P2201,53,3,7
P2202,67,5,10
P2203,106,0,1
P2204,59,2,2
P2205,48,0,4
P2206,31,1,6
P2207,66,2,8
P2208,34,1,1
P2209,93,3,5
P2210,111,2,1
P2211,18,1,1
P2212,83,1,8
P2213,57,2,2
P2214,22,1,9
P2215,74,2,4
P2216,43,1,10
P2217,16,5,10
P2218,11,2,7
P2219,77,3,4
P2220,11,2,9
P2221,33,1,3
P2222,114,2,9
P2223,39,1,10
P2224,117,2,4
P2225,15,4,6
P2226,101,1,2
P2227,52,5,4
P2228,99,3,7
P2229,0,0,9
P2230,117,2,3
P2231,39,3,4
P2232,46,0,10
P2233,61,0,7
P2234,83,2,1
P2235,21,0,10
P2236,22,3,7
P2237,108,1,4
P2238,106,1,5
P2239,115,1,4
P2240,82,1,5
P2241,81,2,6
P2242,26,7,5
P2243,112,1,5
P2244,87,1,6
P2245,62,4,7
P2246,33,3,10
P2247,79,1,1
P2248,89,0,7
P2249,103,2,1
P2250,79,0,6
P2251,106,3,5
P2252,27,4,6
P2253,90,3,2
P2254,68,1,10
P2255,17,1,1
P2256,84,2,4
P2257,40,3,1
P2258,26,3,3
P2259,118,2,5
P2260,89,1,1
P2261,50,2,9
P2262,56,1,5
P2263,1,2,5
P2264,19,3,4
P2265,118,2,6
P2266,0,0,5
P2267,53,2,4
P2268,40,2,7
P2269,50,3,1
P2270,32,3,2
P2271,44,5,8
P2272,35,6,1
P2273,57,3,9
P2274,68,0,4
P2275,77,2,7
P2276,92,2,4
P2277,63,1,7
P2278,62,1,4
P2279,61,5,10
P2280,103,2,2
P2281,5,3,10
P2282,66,2,10
P2283,31,1,1
P2284,65,5,2
P2285,117,4,4
P2286,52,0,5
P2287,57,4,3
P2288,0,2,5
P2289,0,1,6
P2290,114,3,3
P2291,23,1,10
P2292,114,4,7
P2293,70,0,4
P2294,20,2,7
P2295,87,2,8
P2296,20,2,9
P2297,110,0,8
P2298,110,1,8
P2299,41,2,9
P2300,65,3,7
P2301,49,2,2
P2302,27,3,5
P2303,59,0,3
P2304,113,2,5
P2305,113,0,3
P2306,100,2,8
P2307,66,5,9
P2308,72,1,5
P2309,22,4,5
P2310,35,1,7
P2311,79,2,10
P2312,108,4,7
P2313,31,3,4
P2314,87,3,7
P2315,33,1,6
P2316,35,2,8
P2317,30,2,6
P2318,48,1,9
P2319,5,1,4
P2320,30,2,2
P2321,98,1,7
P2322,75,1,1
P2323,111,1,6
P2324,109,1,10
P2325,105,2,3
P2326,10,3,9
P2327,115,3,4
P2328,47,1,5
P2329,20,1,4
P2330,80,2,10
P2331,61,3,10
P2332,29,1,6
P2333,34,1,4
P2334,100,3,4
P2335,70,5,1
P2336,95,2,7
P2337,34,2,5
P2338,98,2,8
P2339,110,0,7
P2340,71,4,1
P2341,85,0,7
P2342,97,4,7
P2343,2,4,7
P2344,48,0,6
P2345,34,4,7
P2346,100,2,6
P2347,46,2,5
P2348,108,0,4
P2349,61,4,6
P2350,1,0,7
P2351,13,4,2
P2352,86,3,6
P2353,23,4,4
P2354,59,2,3
P2355,118,3,6
P2356,10,2,4
P2357,36,5,3
P2358,87,1,8
P2359,118,2,8
P2360,43,0,6
P2361,65,4,6
P2362,5,1,1
P2363,0,1,1
P2364,80,3,2
P2365,11,2,7
P2366,116,0,10
P2367,11,4,9
P2368,102,1,8
P2369,73,1,1
P2370,84,3,4
P2371,95,1,1
P2372,116,3,7
P2373,35,2,9
P2374,77,0,7
P2375,73,0,8
P2376,22,2,10
P2377,70,2,8
P2378,86,1,1
P2379,36,1,7
P2380,93,0,9
P2381,108,0,5
P2382,97,2,4
P2383,93,3,10
P2384,35,3,2
P2385,36,3,3
P2386,109,6,1
P2387,81,5,1
P2388,34,3,7
P2389,12,2,4
P2390,103,3,6
P2391,79,1,3
P2392,26,3,6
P2393,74,1,5
P2394,38,2,9
P2395,5,2,10
P2396,93,2,3
P2397,69,3,9
P2398,44,3,1
P2399,87,3,3
P2400,66,1,1
P2401,48,3,4
P2402,36,2,9
P2403,48,1,6
P2404,56,1,7
P2405,46,6,5
P2406,13,2,6
P2407,83,1,6
P2408,89,3,3
P2409,15,0,2
P2410,104,3,1
P2411,61,1,2
P2412,96,1,10
P2413,81,2,10
P2414,107,2,10
P2415,24,1,1
P2416,23,0,8
P2417,43,4,1
P2418,74,4,8
P2419,106,3,5
P2420,11,1,6
P2421,14,4,1
P2422,33,1,4
P2423,70,2,6
P2424,66,2,1
P2425,104,0,3
P2426,110,4,6
P2427,41,0,1
P2428,66,3,1
P2429,97,0,6
P2430,81,2,4
P2431,75,2,4
P2432,98,3,8
P2433,34,1,7
P2434,20,3,3
P2435,33,3,1
P2436,65,1,3
P2437,87,2,2
P2438,75,1,8
P2439,2,2,6
P2440,103,3,3
P2441,37,0,9
P2442,16,2,6
P2443,81,0,5
P2444,74,1,3
P2445,108,2,4
P2446,36,1,1
P2447,54,4,4
P2448,20,2,7
P2449,32,2,10
P2450,110,2,7
P2451,75,2,7
P2452,62,2,1
P2453,28,1,6
P2454,107,1,8
P2455,11,1,4
P2456,36,4,2
P2457,113,1,10
P2458,80,0,1
P2459,40,4,1
P2460,113,1,9
P2461,57,2,2
P2462,6,2,8
P2463,95,3,3
P2464,18,1,10
P2465,108,1,4
P2466,41,2,2
P2467,73,1,3
P2468,40,2,4
P2469,63,1,9
P2470,73,2,7
P2471,31,2,5
P2472,120,2,7
P2473,82,2,7
P2474,56,2,8
P2475,106,1,9
P2476,55,4,8
P2477,97,5,7
P2478,113,0,6
P2479,93,0,10
P2480,2,1,10
P2481,67,0,7
P2482,80,0,6
P2483,116,1,6
P2484,27,3,4
P2485,15,5,6
P2486,107,2,8
P2487,33,3,1
P2488,20,2,10
P2489,44,2,4
P2490,62,4,4
P2491,39,0,2
P2492,22,1,5
P2493,8,4,9
P2494,55,1,7
P2495,24,2,6
P2496,100,2,3
P2497,79,1,6
P2498,1,4,1
P2499,83,1,10
P2500,105,1,9
P2501,95,4,5
P2502,95,4,2
P2503,1,4,2
P2504,112,0,5
P2505,71,0,8
P2506,91,1,2
P2507,73,0,7
P2508,2,1,10
P2509,97,3,5
P2510,75,0,5
P2511,19,2,7
P2512,67,2,7
P2513,43,2,9
P2514,52,2,9
P2515,10,3,8
P2516,87,3,9
P2517,107,4,9
P2518,117,1,8
P2519,65,1,2
P2520,117,5,6
P2521,51,0,5
P2522,75,1,6
P2523,61,1,9
P2524,62,0,3
P2525,28,0,8
P2526,88,3,2
P2527,38,0,5
P2528,72,1,7
P2529,87,3,3
P2530,19,6,8
P2531,111,1,7
P2532,49,3,4
P2533,116,1,6
P2534,11,2,4
P2535,120,1,5
P2536,96,3,9
P2537,96,1,4
P2538,118,0,7
P2539,33,2,6
P2540,16,3,7
P2541,117,1,10
P2542,96,2,4
P2543,109,1,2
P2544,29,2,6
P2545,87,1,9
P2546,50,2,3
P2547,98,2,2
P2548,7,4,1
P2549,18,2,2
P2550,6,1,9
P2551,109,0,5
P2552,84,5,7
P2553,52,2,6
P2554,119,2,6
P2555,47,1,7
P2556,17,1,3
P2557,88,4,2
P2558,73,2,1
P2559,119,2,9
P2560,32,2,2
P2561,67,3,1
P2562,34,1,3
P2563,59,1,5
P2564,13,2,9
P2565,35,3,5
P2566,63,0,9
P2567,110,2,5
P2568,68,2,9
P2569,43,5,5
P2570,34,2,7
P2571,97,3,3
P2572,31,3,10
P2573,13,1,8
P2574,23,0,7
P2575,54,3,10
P2576,61,0,9
P2577,30,2,5
P2578,8,0,1
P2579,39,2,3
P2580,116,3,7
P2581,118,1,10
P2582,5,3,2
P2583,13,5,6
P2584,78,3,9
P2585,111,1,10
P2586,97,3,3
P2587,25,3,8
P2588,38,4,5
P2589,20,1,4
P2590,96,2,7
P2591,102,2,2
P2592,9,2,10
P2593,85,3,8
P2594,4,2,4
P2595,114,1,3
P2596,73,1,3
P2597,47,2,4
P2598,22,3,3
P2599,31,1,9
P2600,24,1,6
P2601,35,1,7
P2602,12,0,10
P2603,111,3,5
P2604,42,0,5
P2605,67,2,6
P2606,23,1,6
P2607,37,2,8
P2608,81,3,6
P2609,20,0,2
P2610,76,4,2
P2611,42,2,8
P2612,39,1,10
P2613,17,0,3
P2614,87,3,2
P2615,109,3,2
P2616,117,2,8
P2617,91,0,2
P2618,107,2,4
P2619,23,1,6
P2620,10,1,4
P2621,102,2,1
P2622,23,1,1
P2623,56,2,2
P2624,77,0,2
P2625,3,1,6
P2626,10,3,1
P2627,67,5,5
P2628,108,1,2
P2629,4,5,10
P2630,1,2,4
P2631,11,1,4
P2632,103,0,3
P2633,10,0,7
P2634,103,3,2
P2635,55,0,6
P2636,61,1,9
P2637,47,2,10
P2638,69,2,2
P2639,82,2,2
P2640,103,0,8
P2641,42,3,8
P2642,100,2,2
P2643,67,4,2
P2644,34,1,6
P2645,1,0,8
P2646,56,1,4
P2647,44,3,10
P2648,34,2,1
P2649,75,1,10
P2650,115,0,10
P2651,86,0,10
P2652,98,5,4
P2653,23,3,8
P2654,105,2,10
P2655,48,0,2
P2656,76,0,8
P2657,76,2,9
P2658,98,0,8
P2659,84,1,6
P2660,73,2,4
P2661,108,1,3
P2662,8,0,4
P2663,100,2,7
P2664,5,3,4
P2665,104,3,5
P2666,69,3,2
P2667,52,0,7
P2668,91,2,3
P2669,3,3,8
P2670,80,2,3
P2671,100,3,4
P2672,81,2,4
P2673,67,0,9
P2674,77,2,1
P2675,55,1,1
P2676,48,1,1
P2677,23,2,9
P2678,107,1,10
P2679,33,3,2
P2680,65,3,8
P2681,7,4,1
P2682,86,2,2
P2683,86,1,9
P2684,77,2,10
P2685,63,2,7
P2686,107,2,9
P2687,52,0,4
P2688,108,4,8
P2689,91,3,4
P2690,25,3,4
P2691,1,6,4
P2692,81,5,2
P2693,12,2,5
P2694,32,1,5
P2695,66,1,2
P2696,40,3,3
P2697,49,2,10
P2698,40,3,9
P2699,73,5,5
P2700,118,1,9
P2701,19,3,2
P2702,83,3,9
P2703,25,3,4
P2704,87,0,5
P2705,0,4,9
P2706,10,3,7
P2707,77,3,10
P2708,74,1,8
P2709,18,0,1
P2710,119,3,1
P2711,28,2,1
P2712,106,0,1
P2713,73,2,2
P2714,119,2,1
P2715,104,4,4
P2716,118,1,4
P2717,83,1,2
P2718,103,4,5
P2719,48,2,10
P2720,103,0,7
P2721,80,4,1
P2722,87,0,8
P2723,113,0,3
P2724,66,3,9
P2725,112,2,7
P2726,68,3,10
P2727,85,0,8
P2728,27,2,1
P2729,55,1,6
P2730,72,1,10
P2731,34,3,5
P2732,57,3,9
P2733,64,4,3
P2734,119,2,10
P2735,51,3,10
P2736,69,1,5
P2737,18,2,2
P2738,74,0,8
P2739,23,3,3
P2740,1,1,3
P2741,28,1,5
P2742,72,1,7
P2743,3,1,6
P2744,118,3,5
P2745,35,3,7
P2746,11,0,5
P2747,26,1,8
P2748,34,1,1
P2749,97,0,10
P2750,52,1,9
P2751,37,0,5
P2752,24,4,5
P2753,36,1,4
P2754,7,1,5
P2755,111,1,10
P2756,86,1,7
P2757,34,1,9
P2758,15,5,7
P2759,30,0,10
P2760,26,3,1
P2761,117,0,5
P2762,88,2,10
P2763,77,1,4
P2764,23,4,8
P2765,91,1,8
P2766,91,2,2
P2767,21,2,6
P2768,68,1,3
P2769,28,3,7
P2770,17,2,1
P2771,35,3,2
P2772,57,1,10
P2773,66,3,3
P2774,87,3,4
P2775,118,1,9
P2776,88,1,7
P2777,78,1,2
P2778,2,0,8
P2779,49,3,6
P2780,114,2,9
P2781,41,2,10
P2782,118,3,6
P2783,4,0,8
P2784,32,1,1
P2785,90,1,6
P2786,51,0,7
P2787,119,2,5
P2788,85,2,6
P2789,20,0,9
P2790,70,5,6
P2791,61,1,3
