personnel_id,age,service_years,rank_level,transfer_frequency,training_hours
P0742,31,8,Intermediate,2,10.1
P0743,38,12,Junior,2,12.7
P0744,22,1,Intermediate,1,7.1
P0745,31,8,Junior,1,6.0
P0746,49,10,Intermediate,0,8.6
P0747,33,8,Intermediate,0,14.3
P0748,31,9,Senior,0,11.3
P0749,45,2,Junior,0,10.3
P0750,45,2,Intermediate,2,8.8
P0751,24,2,Junior,2,10.7
P0752,49,7,Intermediate,0,13.8
P0753,34,5,Intermediate,0,9.3
P0754,44,6,Intermediate,0,13.1
P0755,34,13,Senior,2,9.5
P0756,33,11,Junior,1,11.0
P0757,39,14,Junior,0,12.5
P0758,43,14,Junior,0,11.2
P0759,35,12,Senior,1,12.7
P0760,43,8,Junior,0,8.7
P0761,31,1,Junior,0,5.4
P0762,50,23,Intermediate,3,10.7
P0763,45,22,Intermediate,1,8.3
P0764,32,7,Junior,2,0.4
P0765,42,16,Senior,2,6.7
P0766,49,20,Intermediate,0,3.5
P0767,39,1,Intermediate,0,16.9
P0768,33,4,Intermediate,2,12.8
P0769,33,11,Junior,0,8.2
P0770,41,13,Intermediate,0,3.0
P0771,40,8,Senior,0,20.2
P0772,48,9,Junior,0,7.4
P0773,27,3,Intermediate,1,14.4
P0774,26,2,Intermediate,1,11.9
P0775,26,1,Intermediate,3,15.6
P0776,49,4,Junior,2,4.6
P0777,41,5,Junior,0,5.9
P0778,42,4,Junior,1,14.9
P0779,31,6,Intermediate,1,2.7
P0780,45,22,Intermediate,0,13.8
P0781,34,3,Intermediate,2,6.3
P0782,44,19,Junior,2,9.0
P0783,46,6,Intermediate,1,8.8
P0784,30,9,Intermediate,1,8.6
P0785,40,1,Junior,1,6.6
P0786,46,4,Intermediate,2,12.7
P0787,49,24,Intermediate,1,13.4
P0788,38,16,Intermediate,1,10.6
P0789,25,1,Intermediate,0,11.1
P0790,50,22,Intermediate,3,0.0
P0791,27,5,Junior,2,11.7
P0792,50,5,Junior,1,0.0
P0793,32,6,Intermediate,0,11.4
P0794,41,15,Intermediate,0,4.1
P0795,32,6,Junior,0,16.5
P0796,46,1,Intermediate,0,9.0
P0797,31,4,Junior,0,6.9
P0798,22,1,Intermediate,2,10.0
P0799,43,16,Senior,0,9.1
P0800,37,9,Junior,3,9.8
P0801,47,10,Intermediate,1,6.6
P0802,23,2,Junior,3,13.3
P0803,46,20,Intermediate,0,10.2
P0804,36,13,Senior,0,8.3
P0805,34,13,Junior,4,2.2
P0806,36,14,Intermediate,3,7.7
P0807,34,9,Junior,0,14.4
P0808,45,18,Senior,0,13.7
P0809,48,18,Intermediate,0,9.4
P0810,35,9,Junior,0,8.3
P0811,21,1,Junior,1,10.2
P0812,44,16,Junior,1,12.0
P0813,40,18,Intermediate,2,6.4
P0814,31,3,Senior,0,4.8
P0815,34,6,Intermediate,1,12.7
P0816,44,22,Junior,1,15.8
P0817,48,27,Junior,1,11.2
P0818,28,6,Junior,2,13.1
P0819,36,3,Junior,0,15.5
P0820,31,7,Intermediate,1,5.3
P0821,35,1,Intermediate,0,5.7
P0822,44,19,Intermediate,0,7.1
P0823,27,2,Junior,1,7.8
P0824,41,8,Intermediate,1,16.1
P0825,25,2,Junior,1,2.6
P0826,26,5,Junior,0,9.9
P0827,23,1,Intermediate,0,6.4
P0828,23,2,Intermediate,0,8.7
P0829,37,12,Junior,1,14.7
P0830,45,16,Junior,0,11.9
P0831,30,3,Junior,0,8.0
P0832,45,13,Intermediate,1,15.1
P0833,36,11,Junior,0,4.0
P0834,48,24,Junior,1,10.4
P0835,28,1,Junior,0,6.5
P0836,45,20,Intermediate,4,5.2
P0837,33,10,Junior,0,4.4
P0838,29,6,Junior,0,14.3
P0839,49,10,Senior,1,13.1
P0840,40,7,Junior,1,6.8
P0841,28,7,Junior,1,8.2
P0842,43,17,Junior,2,6.4
P0843,43,6,Junior,0,7.4
P0844,25,3,Junior,0,5.9
P0845,50,15,Senior,3,7.8
P0846,39,6,Intermediate,0,11.6
P0847,37,9,Senior,0,8.6
P0848,37,15,Senior,2,20.0
P0849,26,2,Senior,1,18.9
P0850,46,19,Junior,0,10.0
P0851,31,6,Junior,1,5.6
P0852,47,8,Senior,0,13.0
P0853,42,7,Junior,2,12.2
P0854,42,13,Junior,1,8.5
P0855,26,4,Junior,2,15.8
P0856,47,17,Intermediate,3,2.6
P0857,40,14,Intermediate,1,11.4
P0858,43,18,Junior,1,12.4
P0859,26,3,Intermediate,1,14.0
P0860,49,20,Intermediate,1,7.1
P0861,32,9,Junior,0,8.0
P0862,49,25,Junior,1,9.8
P0863,37,5,Intermediate,1,15.6
P0864,23,1,Intermediate,1,8.5
P0865,37,16,Junior,2,13.2
P0866,36,3,Junior,0,9.5
P0867,25,2,Junior,0,7.1
P0868,26,3,Junior,2,12.1
P0869,44,4,Intermediate,0,15.7
P0870,48,10,Junior,0,4.1
P0871,26,2,Junior,0,9.6
P0872,38,13,Intermediate,4,8.2
P0873,50,26,Intermediate,0,7.7
P0874,27,6,Junior,3,14.0
P0875,41,14,Senior,0,4.6
P0876,42,3,Junior,2,10.6
P0877,39,9,Intermediate,1,14.5
P0878,35,14,Senior,1,5.2
P0879,45,12,Junior,1,9.6
P0880,41,16,Junior,1,4.8
P0881,36,12,Intermediate,4,6.0
P0882,34,13,Junior,1,5.9
P0883,39,2,Junior,0,15.8
P0884,29,4,Intermediate,0,10.1
P0885,46,6,Intermediate,0,7.3
P0886,47,26,Intermediate,2,6.7
P0887,25,1,Intermediate,2,0.7
P0888,23,1,Intermediate,1,0.5
P0889,29,7,Intermediate,4,12.2
P0890,30,7,Intermediate,2,10.9
P0891,21,1,Junior,0,13.9
P0892,44,16,Intermediate,0,4.5
P0893,47,17,Junior,1,11.3
P0894,33,9,Intermediate,0,0.6
P0895,46,1,Senior,1,4.3
P0896,21,1,Junior,1,10.9
P0897,45,24,Junior,1,11.3
P0898,43,10,Intermediate,0,16.6
P0899,36,4,Senior,0,15.3
P0900,24,2,Intermediate,1,7.4
P0901,32,9,Junior,1,17.8
P0902,34,12,Intermediate,1,9.5
P0903,21,1,Senior,2,6.8
P0904,43,3,Senior,2,2.4
P0905,24,1,Intermediate,1,9.4
P0906,28,5,Intermediate,1,7.5
P0907,27,1,Junior,0,8.4
P0908,45,13,Junior,0,20.1
P0909,24,1,Junior,2,10.2
P0910,34,8,Intermediate,1,12.2
P0911,36,4,Junior,0,4.5
P0912,37,14,Junior,3,5.3
P0913,28,2,Senior,1,10.1
P0914,33,4,Junior,0,12.9
P0915,47,22,Intermediate,1,8.4
P0916,47,21,Junior,2,13.7
P0917,23,2,Intermediate,1,8.3
P0918,46,21,Intermediate,4,7.1
P0919,43,14,Intermediate,0,10.3
P0920,30,1,Junior,0,6.4
P0921,39,1,Intermediate,1,15.8
P0922,24,2,Intermediate,3,4.0
P0923,39,11,Intermediate,1,1.8
P0924,41,4,Junior,1,11.4
P0925,49,10,Junior,1,11.8
P0926,38,7,Senior,1,3.2
P0927,46,6,Intermediate,1,10.6
P0928,26,3,Junior,2,8.0
P0929,50,7,Intermediate,1,7.1
P0930,34,9,Intermediate,0,7.6
P0931,46,25,Junior,0,14.7
P0932,38,15,Junior,0,9.1
P0933,23,1,Intermediate,1,7.3
P0934,32,5,Junior,5,8.7
P0935,24,2,Intermediate,1,6.8
P0936,21,1,Junior,1,13.8
P0937,38,16,Intermediate,1,13.7
P0938,47,26,Intermediate,0,8.3
P0939,31,2,Junior,1,11.8
P0940,44,12,Junior,2,10.8
P0941,25,1,Intermediate,2,6.0
P0942,27,4,Intermediate,0,7.5
P0943,36,4,Intermediate,1,8.2
P0944,49,21,Intermediate,0,10.5
P0945,47,7,Junior,0,12.5
P0946,24,3,Junior,0,7.2
P0947,32,10,Intermediate,1,13.4
P0948,42,3,Junior,4,10.3
P0949,30,6,Junior,0,14.1
P0950,39,10,Junior,0,13.1
P0951,35,5,Junior,0,6.0
P0952,22,1,Intermediate,2,3.2
P0953,23,2,Junior,0,7.6
P0954,29,7,Junior,1,15.7
P0955,32,4,Junior,1,5.4
P0956,47,24,Intermediate,1,3.3
P0957,37,14,Intermediate,1,10.5
P0958,22,1,Senior,0,0.0
P0959,50,15,Junior,2,11.0
P0960,36,9,Intermediate,2,11.9
P0961,32,4,Intermediate,3,12.5
P0962,46,23,Junior,0,11.5
P0963,43,16,Intermediate,0,14.6
P0964,50,13,Junior,0,9.6
P0965,24,3,Intermediate,0,8.1
P0966,22,1,Intermediate,0,6.1
P0967,30,9,Junior,2,11.1
P0968,27,6,Junior,0,8.0
P0969,29,1,Intermediate,0,19.4
P0970,26,3,Junior,1,7.1
P0971,34,8,Senior,1,0.5
P0972,26,1,Senior,0,8.0
P0973,41,16,Senior,1,11.0
P0974,26,1,Junior,2,5.6
P0975,41,3,Junior,0,12.0
P0976,43,20,Junior,0,0.0
P0977,41,16,Senior,0,13.4
P0978,37,13,Intermediate,1,10.6
P0979,30,4,Intermediate,0,17.7
P0980,39,17,Junior,2,11.4
P0981,27,4,Junior,0,7.9
P0982,25,2,Junior,1,8.8
P0983,50,24,Intermediate,0,10.7
P0984,47,19,Junior,1,1.6
P0985,33,1,Junior,0,8.1
P0986,42,18,Intermediate,0,8.1
P0987,48,18,Intermediate,1,13.1
P0988,22,1,Junior,0,9.6
P0989,26,3,Junior,1,7.0
P0990,24,3,Senior,1,5.0
P0991,31,6,Junior,0,8.6
P0992,35,8,Junior,1,9.0
P0993,30,5,Intermediate,0,10.3
P0994,22,1,Junior,2,16.4
P0995,50,9,Intermediate,1,8.2
P0996,26,5,Intermediate,0,10.7
P0997,32,6,Intermediate,1,14.8
P0998,44,2,Junior,0,3.9
P0999,37,4,Junior,1,7.7
P1000,44,6,Senior,2,5.0
P1001,28,6,Junior,0,6.6
P1002,34,13,Junior,1,9.4
P1003,23,1,Intermediate,0,3.1
P1004,31,10,Junior,0,6.3
P1005,23,1,Intermediate,3,10.6
P1006,33,8,Intermediate,1,6.3
P1007,33,3,Intermediate,0,13.8
P1008,44,10,Intermediate,1,10.8
P1009,31,7,Junior,1,8.2
P1010,36,9,Intermediate,0,10.6
P1011,33,11,Junior,0,4.0
P1012,42,20,Junior,2,13.7
P1013,40,1,Intermediate,1,7.3
P1014,50,19,Junior,1,10.9
P1015,36,12,Intermediate,0,10.3
P1016,29,8,Junior,3,14.2
P1017,47,26,Intermediate,0,13.7
P1018,47,6,Junior,2,9.5
P1019,36,15,Intermediate,2,4.5
P1020,44,20,Intermediate,1,0.3
P1021,21,1,Intermediate,2,11.9
P1022,21,1,Intermediate,1,14.3
P1023,21,1,Senior,1,14.3
P1024,32,10,Junior,1,8.2
P1025,49,10,Junior,2,14.2
P1026,41,13,Intermediate,0,12.1
P1027,46,8,Junior,1,10.0
P1028,22,1,Intermediate,1,11.5
P1029,47,6,Intermediate,1,4.6
P1030,41,8,Senior,2,10.9
P1031,46,14,Junior,0,6.5
P1032,46,10,Intermediate,0,10.4
P1033,40,13,Junior,0,14.6
P1034,36,6,Junior,2,11.2
P1035,29,1,Intermediate,0,14.8
P1036,43,5,Senior,1,17.4
P1037,46,14,Junior,2,1.4
P1038,49,3,Intermediate,0,10.7
P1039,41,2,Junior,2,12.6
P1040,40,1,Junior,1,10.0
P1041,33,9,Junior,1,9.9
P1042,46,13,Junior,0,3.6
P1043,23,2,Intermediate,1,5.1
P1044,36,15,Intermediate,2,12.7
P1045,31,5,Junior,1,6.2
P1046,43,7,Junior,1,4.6
P1047,46,1,Junior,2,9.8
P1048,24,1,Junior,0,12.0
P1049,36,14,Junior,0,9.3
P1050,21,1,Junior,1,6.3
P1051,33,4,Intermediate,1,7.5
P1052,36,9,Junior,0,8.0
P1053,24,3,Junior,0,9.0
P1054,48,19,Intermediate,1,5.0
P1055,40,16,Intermediate,3,9.3
P1056,39,5,Intermediate,1,10.6
P1057,34,7,Junior,1,12.8
P1058,25,1,Junior,1,9.7
P1059,38,9,Junior,0,8.2
P1060,26,2,Junior,1,6.0
P1061,45,17,Intermediate,0,5.7
P1062,50,10,Junior,0,16.9
P1063,38,16,Senior,0,13.4
P1064,48,20,Senior,2,5.1
P1065,33,9,Junior,2,7.4
P1066,49,9,Junior,2,12.5
P1067,33,7,Senior,1,10.8
P1068,22,1,Junior,0,6.1
P1069,25,2,Junior,2,10.0
P1070,26,3,Senior,2,16.6
P1071,31,10,Senior,2,8.8
P1072,32,6,Junior,1,10.3
P1073,49,28,Intermediate,2,13.8
P1074,31,8,Intermediate,2,15.0
P1075,39,18,Junior,1,16.7
P1076,35,7,Junior,0,8.4
P1077,28,5,Junior,0,17.3
P1078,35,13,Junior,1,15.9
P1079,38,16,Intermediate,1,8.4
P1080,26,2,Intermediate,2,7.2
P1081,30,1,Intermediate,0,9.0
P1082,26,2,Intermediate,1,12.5
P1083,43,16,Junior,0,6.4
P1084,41,9,Junior,2,18.4
P1085,22,1,Junior,1,8.5
P1086,37,3,Junior,1,13.9
P1087,25,3,Junior,3,5.3
P1088,36,8,Junior,2,6.8
P1089,23,2,Junior,1,9.7
P1090,22,1,Junior,2,11.0
P1091,49,3,Intermediate,1,11.2
P1092,38,9,Intermediate,0,6.5
P1093,21,1,Junior,2,13.8
P1094,47,8,Junior,0,9.8
P1095,27,4,Junior,2,2.1
P1096,21,1,Junior,2,14.3
P1097,31,7,Junior,1,10.5
P1098,46,5,Senior,3,7.8
P1099,45,2,Intermediate,0,13.9
P1100,21,1,Junior,2,7.8
P1101,39,3,Intermediate,0,4.5
P1102,35,6,Intermediate,2,12.8
P1103,42,1,Junior,1,9.3
P1104,33,10,Senior,0,6.7
P1105,50,24,Junior,1,10.1
P1106,48,27,Senior,1,9.5
P1107,25,2,Junior,2,7.8
P1108,43,16,Intermediate,0,9.6
P1109,49,23,Senior,1,9.5
P1110,31,1,Junior,1,4.5
P1111,41,7,Junior,1,10.3
P1112,29,1,Senior,3,7.4
P1113,22,1,Junior,0,6.5
P1114,49,17,Junior,0,7.9
P1115,46,16,Intermediate,0,12.0
P1116,24,1,Junior,1,9.8
P1117,45,2,Junior,1,2.6
P1118,43,1,Senior,2,9.6
P1119,45,14,Intermediate,0,8.9
P1120,47,10,Junior,1,15.1
P1121,46,16,Junior,2,9.9
P1122,23,2,Junior,2,13.5
P1123,48,3,Junior,3,10.9
P1124,31,5,Junior,1,6.2
P1125,32,2,Intermediate,2,10.4
P1126,48,24,Senior,1,14.7
P1127,38,14,Intermediate,2,7.5
P1128,34,8,Junior,0,10.2
P1129,41,10,Intermediate,0,8.9
P1130,32,2,Intermediate,1,11.1
P1131,28,1,Junior,2,3.0
P1132,37,11,Junior,1,8.7
P1133,32,4,Intermediate,0,10.2
P1134,27,6,Senior,0,17.2
P1135,37,16,Intermediate,0,14.0
P1136,22,1,Senior,0,15.5
P1137,42,1,Senior,0,10.5
P1138,27,5,Senior,1,12.0
P1139,49,10,Junior,0,7.7
P1140,30,6,Junior,1,9.5
P1141,25,1,Intermediate,0,4.5
P1142,45,5,Intermediate,1,4.2
P1143,50,7,Junior,1,15.3
P1144,48,5,Intermediate,0,2.6
P1145,30,4,Junior,0,2.6
P1146,43,7,Junior,2,4.6
P1147,38,9,Junior,2,4.8
P1148,36,11,Junior,1,9.4
P1149,48,21,Intermediate,3,9.3
P1150,36,2,Junior,1,4.5
P1151,32,11,Junior,1,18.8
P1152,43,8,Junior,0,14.8
P1153,35,6,Junior,2,6.3
P1154,28,5,Junior,1,12.7
P1155,29,8,Intermediate,4,14.8
P1156,22,1,Junior,1,14.1
P1157,31,3,Intermediate,1,4.1
P1158,35,12,Intermediate,2,4.5
P1159,49,9,Junior,0,2.6
P1160,25,2,Intermediate,1,12.5
P1161,40,15,Junior,0,9.5
P1162,32,10,Junior,0,12.3
P1163,31,6,Junior,1,9.1
P1164,42,4,Senior,1,6.0
P1165,40,6,Intermediate,1,16.4
P1166,47,7,Intermediate,0,12.9
P1167,43,7,Senior,2,10.6
P1168,24,1,Intermediate,0,11.6
P1169,33,2,Intermediate,0,10.1
P1170,40,10,Intermediate,0,5.0
P1171,28,6,Junior,0,12.9
P1172,36,10,Senior,1,12.2
P1173,45,19,Junior,1,16.5
P1174,25,3,Intermediate,0,11.5
P1175,37,4,Intermediate,2,1.7
P1176,43,10,Junior,2,9.9
P1177,36,1,Intermediate,1,3.3
P1178,24,2,Junior,0,7.1
P1179,43,17,Junior,0,11.1
P1180,27,2,Intermediate,0,11.5
P1181,32,11,Junior,0,6.4
P1182,25,2,Junior,2,10.8
P1183,31,10,Senior,2,6.0
P1184,47,16,Intermediate,1,10.5
P1185,40,19,Junior,0,3.2
P1186,32,2,Junior,0,7.8
P1187,42,14,Intermediate,0,6.3
P1188,40,2,Senior,3,13.0
P1189,38,13,Intermediate,0,14.1
P1190,26,3,Intermediate,2,12.0
P1191,28,6,Intermediate,2,11.6
P1192,36,8,Junior,2,9.7
P1193,37,12,Junior,1,5.7
P1194,40,7,Junior,1,1.6
P1195,21,1,Senior,1,4.9
P1196,48,25,Junior,0,13.8
P1197,25,3,Junior,1,15.4
P1198,27,1,Junior,0,12.8
P1199,31,2,Senior,3,9.1
P1200,25,2,Junior,0,7.4
P1201,26,5,Junior,3,13.3
P1202,26,1,Intermediate,0,15.8
P1203,50,7,Senior,2,13.4
P1204,21,1,Intermediate,1,13.3
P1205,38,9,Intermediate,0,6.0
P1206,43,22,Junior,0,7.8
P1207,40,13,Intermediate,0,11.3
P1208,21,1,Junior,1,16.5
P1209,36,14,Senior,0,14.2
P1210,45,19,Senior,1,2.2
P1211,38,14,Junior,1,7.0
P1212,34,8,Intermediate,1,4.9
P1213,23,2,Senior,0,11.2
P1214,28,1,Intermediate,1,10.8
P1215,45,2,Junior,0,12.9
P1216,31,7,Senior,1,10.2
P1217,26,1,Junior,1,10.1
P1218,39,16,Intermediate,4,0.7
P1219,26,3,Junior,1,10.8
P1220,33,2,Senior,0,15.3
P1221,29,8,Intermediate,0,16.8
P1222,35,3,Intermediate,1,6.5
P1223,31,4,Intermediate,0,9.3
P1224,35,2,Junior,1,13.8
P1225,40,2,Intermediate,0,10.5
P1226,21,1,Intermediate,1,9.1
P1227,40,4,Junior,1,8.5
P1228,34,4,Junior,0,6.5
P1229,43,13,Intermediate,2,12.3
P1230,31,3,Junior,1,8.5
P1231,42,7,Junior,1,12.3
P1232,32,10,Intermediate,2,12.3
P1233,44,10,Junior,2,8.5
P1234,37,1,Senior,1,2.5
P1235,28,5,Junior,0,13.4
P1236,31,7,Junior,0,12.2
P1237,50,15,Junior,0,8.9
P1238,37,16,Junior,0,14.9
P1239,49,1,Senior,1,9.9
P1240,44,4,Intermediate,1,9.3
P1241,49,27,Junior,0,12.9
P1242,23,1,Senior,2,12.7
P1243,35,3,Junior,0,2.7
P1244,27,4,Junior,3,12.1
P1245,37,1,Junior,0,13.6
P1246,49,26,Senior,0,7.3
P1247,35,8,Junior,0,11.3
P1248,42,12,Junior,0,13.7
P1249,30,5,Intermediate,1,8.9
P1250,21,1,Intermediate,0,1.2
P1251,40,10,Intermediate,3,6.8
P1252,33,1,Intermediate,0,8.6
P1253,48,23,Junior,0,7.2
P1254,31,10,Junior,2,10.2
P1255,29,2,Intermediate,1,14.2
P1256,22,1,Junior,0,12.3
P1257,42,3,Intermediate,1,12.4
P1258,22,1,Intermediate,0,7.8
P1259,21,1,Junior,1,13.4
P1260,34,5,Junior,0,10.1
P1261,47,11,Junior,2,4.7
P1262,49,6,Junior,0,1.3
P1263,36,7,Senior,1,14.4
P1264,50,25,Senior,1,4.1
P1265,42,19,Intermediate,0,12.6
P1266,45,2,Junior,0,6.4
P1267,33,3,Junior,1,5.2
P1268,36,2,Junior,1,6.1
P1269,25,1,Junior,0,14.6
P1270,35,11,Senior,0,10.5
P1271,37,16,Intermediate,1,15.0
P1272,34,2,Intermediate,0,9.7
P1273,28,2,Intermediate,1,13.3
P1274,28,7,Intermediate,1,11.7
P1275,24,1,Intermediate,1,10.8
P1276,34,11,Intermediate,1,12.4
P1277,26,4,Senior,0,18.1
P1278,24,1,Intermediate,1,12.5
P1279,33,7,Junior,0,9.9
P1280,46,21,Junior,1,12.6
P1281,29,1,Intermediate,0,9.2
P1282,44,13,Intermediate,2,8.4
P1283,31,8,Junior,2,3.4
P1284,50,11,Intermediate,0,7.2
P1285,50,27,Senior,1,12.4
P1286,33,7,Junior,0,11.2
P1287,26,1,Intermediate,1,12.0
P1288,45,19,Junior,3,12.5
P1289,43,5,Junior,1,6.9
P1290,26,4,Intermediate,2,6.9
P1291,35,1,Junior,0,12.0
P1292,45,24,Junior,1,12.5
P1293,32,4,Junior,0,11.5
P1294,43,21,Junior,1,5.4
P1295,40,17,Intermediate,4,5.8
P1296,29,2,Junior,1,8.6
P1297,31,2,Senior,0,8.3
P1298,41,11,Intermediate,0,12.6
P1299,50,25,Intermediate,2,15.0
P1300,29,3,Intermediate,0,9.2
P1301,50,18,Senior,1,6.2
P1302,35,10,Junior,1,0.7
P1303,35,7,Junior,1,10.2
P1304,28,4,Junior,1,13.2
P1305,49,1,Junior,3,7.7
P1306,33,12,Junior,0,4.0
P1307,33,8,Intermediate,0,16.5
P1308,21,1,Junior,0,9.5
P1309,25,2,Intermediate,1,7.6
P1310,27,2,Intermediate,3,6.1
P1311,23,2,Intermediate,0,7.3
P1312,35,9,Junior,1,14.1
P1313,33,8,Intermediate,1,6.9
P1314,37,9,Junior,1,9.9
P1315,46,8,Intermediate,0,16.9
P1316,45,13,Intermediate,1,9.6
P1317,23,1,Junior,1,10.6
P1318,44,6,Intermediate,0,11.2
P1319,40,19,Junior,2,10.3
P1320,35,6,Junior,2,15.3
P1321,48,23,Junior,2,6.7
P1322,49,13,Intermediate,0,13.7
P1323,41,19,Junior,2,3.4
P1324,24,1,Intermediate,1,6.2
P1325,23,1,Junior,0,11.3
P1326,47,25,Intermediate,3,9.2
P1327,25,3,Intermediate,0,13.1
P1328,27,2,Junior,1,15.4
P1329,25,3,Junior,1,11.6
P1330,47,11,Junior,0,12.0
P1331,27,3,Intermediate,2,10.6
P1332,37,14,Junior,1,14.5
P1333,27,4,Junior,1,11.7
P1334,34,10,Intermediate,2,6.8
P1335,24,2,Intermediate,1,21.1
P1336,21,1,Intermediate,2,3.8
P1337,42,11,Junior,1,3.5
P1338,26,1,Intermediate,0,8.5
P1339,44,22,Junior,0,2.0
P1340,46,5,Junior,0,2.4
P1341,27,2,Junior,1,10.9
P1342,35,1,Intermediate,0,8.7
P1343,47,1,Intermediate,4,11.2
P1344,26,1,Junior,2,9.6
P1345,39,11,Junior,1,3.4
P1346,37,1,Junior,2,8.0
P1347,24,1,Junior,2,7.7
P1348,49,22,Intermediate,0,9.3
P1349,44,9,Junior,1,8.4
P1350,47,22,Junior,1,10.7
P1351,34,9,Junior,0,10.1
P1352,42,17,Intermediate,0,5.4
P1353,29,6,Intermediate,2,10.0
P1354,36,5,Junior,3,7.6
P1355,46,24,Junior,1,12.5
P1356,41,9,Intermediate,0,6.7
P1357,36,11,Intermediate,1,6.2
P1358,27,3,Junior,0,11.0
P1359,27,1,Intermediate,2,17.4
P1360,21,1,Senior,0,15.0
P1361,50,7,Intermediate,0,10.6
P1362,48,21,Junior,0,15.4
P1363,47,26,Intermediate,0,10.7
P1364,43,22,Junior,0,8.3
P1365,24,3,Intermediate,1,4.2
P1366,43,13,Junior,2,17.5
P1367,40,3,Junior,0,6.4
P1368,25,4,Junior,1,12.5
P1369,24,3,Junior,0,15.0
P1370,38,1,Intermediate,0,14.9
P1371,47,12,Intermediate,2,8.9
P1372,38,1,Junior,2,16.0
P1373,41,5,Junior,1,12.7
P1374,29,5,Senior,1,4.0
P1375,49,22,Junior,1,9.1
P1376,36,1,Junior,2,12.9
P1377,21,1,Junior,0,16.8
P1378,40,10,Junior,1,12.8
P1379,47,18,Junior,1,6.1
P1380,22,1,Junior,3,13.4
P1381,42,13,Junior,2,12.6
P1382,40,4,Intermediate,0,5.6
P1383,25,2,Intermediate,2,12.7
P1384,40,16,Senior,0,10.7
P1385,46,23,Intermediate,0,16.5
P1386,29,3,Junior,4,11.3
P1387,22,1,Intermediate,1,8.6
P1388,39,15,Junior,1,9.2
P1389,41,7,Junior,2,11.3
P1390,40,10,Intermediate,2,11.8
P1391,24,2,Intermediate,0,10.1
P1392,28,1,Intermediate,1,21.1
P1393,33,4,Intermediate,3,10.0
P1394,32,11,Senior,0,17.2
P1395,26,4,Junior,0,5.3
P1396,30,4,Intermediate,3,10.6
P1397,41,9,Intermediate,1,4.8
P1398,49,27,Intermediate,2,7.8
P1399,36,2,Senior,2,13.1
P1400,43,8,Junior,1,6.5
P1401,35,2,Intermediate,4,12.6
P1402,26,3,Junior,1,8.7
P1403,25,4,Senior,0,7.5
P1404,23,1,Junior,1,11.1
P1405,29,1,Junior,0,7.9
P1406,44,2,Senior,3,10.4
P1407,49,23,Intermediate,2,5.2
P1408,42,17,Intermediate,0,7.6
P1409,29,4,Intermediate,0,12.4
P1410,37,12,Intermediate,1,12.9
P1411,47,7,Intermediate,1,14.5
P1412,39,16,Intermediate,1,5.1
P1413,33,8,Intermediate,1,10.2
P1414,23,1,Intermediate,0,12.9
P1415,27,2,Intermediate,0,13.5
P1416,30,9,Junior,2,8.0
P1417,31,3,Intermediate,1,7.8
P1418,34,11,Intermediate,2,11.2
P1419,42,4,Intermediate,0,8.9
P1420,43,14,Junior,0,7.4
P1421,25,3,Junior,3,11.6
P1422,28,6,Junior,2,11.0
P1423,28,6,Junior,0,12.8
P1424,47,19,Intermediate,0,10.9
P1425,36,12,Junior,1,19.4
P1426,45,20,Intermediate,0,6.6
P1427,21,1,Junior,1,10.2
P1428,30,6,Senior,1,14.0
P1429,36,15,Junior,4,12.1
P1430,33,7,Intermediate,1,11.7
P1431,36,5,Junior,0,14.4
P1432,23,1,Intermediate,1,7.7
P1433,45,12,Junior,2,15.3
P1434,48,1,Junior,2,18.8
P1435,26,1,Junior,0,12.9
P1436,32,11,Junior,0,11.8
P1437,37,3,Junior,1,3.3
P1438,21,1,Intermediate,0,10.4
P1439,38,17,Intermediate,2,1.9
P1440,36,4,Junior,0,5.2
P1441,26,5,Junior,1,6.3
P1442,34,9,Intermediate,1,16.1
P1443,22,1,Intermediate,1,4.9
P1444,48,8,Intermediate,0,13.0
P1445,30,7,Junior,0,4.1
P1446,32,10,Junior,1,14.1
P1447,38,8,Intermediate,1,13.9
P1448,49,18,Junior,0,11.2
P1449,45,20,Junior,1,21.2
P1450,33,6,Intermediate,1,12.2
P1451,25,4,Intermediate,1,10.8
P1452,23,2,Senior,2,8.3
P1453,23,2,Junior,2,9.6
P1454,36,9,Intermediate,0,9.2
P1455,36,11,Intermediate,1,13.9
P1456,29,5,Junior,1,16.4
P1457,26,1,Junior,1,5.4
P1458,23,1,Junior,1,5.5
P1459,40,14,Intermediate,0,6.1
P1460,33,6,Senior,0,9.4
P1461,36,10,Intermediate,0,12.5
P1462,22,1,Senior,0,14.4
P1463,35,8,Intermediate,4,11.9
P1464,44,20,Senior,1,15.8
P1465,43,19,Senior,2,10.1
P1466,49,17,Senior,3,13.6
P1467,49,3,Intermediate,0,15.8
P1468,49,3,Junior,1,8.7
P1469,50,22,Senior,1,10.4
P1470,39,4,Junior,2,11.6
P1471,31,1,Senior,1,6.8
P1472,44,2,Intermediate,1,13.4
P1473,23,2,Intermediate,1,6.7
P1474,41,10,Intermediate,2,18.8
P1475,40,19,Junior,1,15.6
P1476,32,2,Junior,4,10.4
P1477,26,2,Intermediate,0,12.7
P1478,46,15,Junior,2,9.7
P1479,21,1,Senior,0,9.4
P1480,32,1,Junior,0,9.3
P1481,25,1,Junior,1,2.0
P1482,41,5,Junior,0,4.9
P1483,27,1,Intermediate,0,7.9
P1484,21,1,Intermediate,2,8.5
