personnel_id,leave_days,days_since_last_leave,leave_frequency
P1395,4,8,3
P1396,12,89,1
P1397,6,9,4
P1398,15,80,0
P1399,13,61,0
P1400,4,86,3
P1401,10,27,1
P1402,5,11,2
P1403,13,19,4
P1404,15,90,2
P1405,5,74,0
P1406,5,80,1
P1407,8,8,0
P1408,9,65,2
P1409,7,18,2
P1410,2,11,1
P1411,9,65,3
P1412,7,32,4
P1413,6,78,4
P1414,11,87,3
P1415,2,32,0
P1416,10,71,2
P1417,8,85,3
P1418,9,43,3
P1419,10,39,3
P1420,4,70,0
P1421,1,49,3
P1422,7,75,3
P1423,7,74,3
P1424,4,88,3
P1425,4,44,1
P1426,6,54,1
P1427,2,39,4
P1428,12,42,4
P1429,4,31,0
P1430,8,7,2
P1431,5,34,4
P1432,5,82,1
P1433,7,28,0
P1434,14,50,0
P1435,10,59,1
P1436,0,32,0
P1437,12,36,4
P1438,1,63,4
P1439,3,67,1
P1440,12,16,0
P1441,7,10,3
P1442,13,78,4
P1443,10,63,3
P1444,3,72,4
P1445,15,55,1
P1446,9,72,1
P1447,8,45,2
P1448,4,57,3
P1449,15,57,2
P1450,5,69,4
P1451,6,57,2
P1452,1,52,1
P1453,8,22,0
P1454,11,55,0
P1455,11,63,1
P1456,9,21,4
P1457,13,81,2
P1458,15,86,3
P1459,13,39,0
P1460,13,85,2
P1461,11,6,1
P1462,11,36,4
P1463,4,32,4
P1464,13,74,2
P1465,11,44,4
P1466,2,15,0
P1467,7,47,4
P1468,1,78,1
P1469,12,6,1
P1470,11,88,0
P1471,5,63,2
P1472,5,74,2
P1473,14,37,1
P1474,14,15,1
P1475,1,69,3
P1476,5,40,4
P1477,3,61,1
P1478,0,18,4
P1479,12,9,1
P1480,12,90,4
P1481,4,42,1
P1482,14,41,2
P1483,15,5,4
P1484,12,76,0
P1485,6,33,4
P1486,10,83,3
P1487,9,30,0
P1488,10,27,1
P1489,0,85,0
P1490,1,65,3
P1491,11,33,1
P1492,9,46,2
P1493,8,54,1
P1494,6,61,2
P1495,0,58,3
P1496,4,72,2
P1497,1,86,1
P1498,10,8,2
P1499,15,90,1
P1500,12,84,2
P1501,2,83,4
P1502,14,47,0
P1503,12,25,0
P1504,8,81,1
P1505,12,40,1
P1506,5,45,1
P1507,8,61,0
P1508,11,26,3
P1509,5,26,4
P1510,13,70,4
P1511,7,73,1
P1512,2,15,3
P1513,4,16,3
P1514,12,33,3
P1515,2,12,2
P1516,4,20,0
P1517,12,12,1
P1518,7,9,0
P1519,5,70,0
P1520,9,69,3
P1521,13,51,3
P1522,4,79,1
P1523,15,13,3
P1524,5,65,0
P1525,5,49,0
P1526,12,41,2
P1527,11,77,0
P1528,5,29,1
P1529,11,75,0
P1530,14,35,2
P1531,15,87,2
P1532,0,65,0
P1533,8,74,0
P1534,8,37,2
P1535,14,39,0
P1536,15,40,3
P1537,4,64,1
P1538,9,48,0
P1539,11,59,1
P1540,11,55,4
P1541,2,90,2
P1542,6,11,4
P1543,0,17,0
P1544,15,88,1
P1545,9,54,3
P1546,0,67,0
P1547,0,43,2
P1548,11,45,0
P1549,9,58,2
P1550,4,66,2
P1551,1,86,3
P1552,6,50,1
P1553,0,32,1
P1554,3,45,1
P1555,5,43,1
P1556,0,62,0
P1557,15,54,2
P1558,11,81,2
P1559,2,21,2
P1560,12,48,3
P1561,15,32,3
P1562,12,38,1
P1563,1,21,3
P1564,1,32,3
P1565,3,20,0
P1566,4,9,4
P1567,4,86,3
P1568,15,66,4
P1569,15,15,1
P1570,10,7,2
P1571,9,64,1
P1572,8,21,2
P1573,2,44,3
P1574,14,55,0
P1575,2,8,0
P1576,2,8,3
P1577,0,61,0
P1578,6,72,0
P1579,14,32,3
P1580,15,85,0
P1581,6,21,3
P1582,4,55,1
P1583,13,24,4
P1584,15,66,3
P1585,0,34,2
P1586,15,20,1
P1587,11,7,4
P1588,4,59,0
P1589,4,63,3
P1590,8,82,3
P1591,14,83,1
P1592,4,8,4
P1593,0,27,2
P1594,5,25,3
P1595,3,61,4
P1596,15,75,3
P1597,15,21,1
P1598,11,62,4
P1599,4,84,3
P1600,7,60,3
P1601,13,76,4
P1602,8,22,3
P1603,11,47,1
P1604,5,83,4
P1605,5,64,4
P1606,14,28,0
P1607,12,5,3
P1608,0,77,4
P1609,13,32,1
P1610,10,56,2
P1611,1,66,2
P1612,1,74,0
P1613,10,20,3
P1614,4,66,2
P1615,5,7,2
P1616,2,25,2
P1617,5,41,3
P1618,0,39,2
P1619,9,25,1
P1620,12,7,2
P1621,3,45,0
P1622,10,45,4
P1623,8,50,3
P1624,0,51,3
P1625,11,79,3
P1626,13,15,4
P1627,1,60,0
P1628,11,76,0
P1629,4,78,3
P1630,6,63,2
P1631,3,40,4
P1632,9,6,3
P1633,1,89,3
P1634,11,40,1
P1635,13,47,4
P1636,9,79,1
P1637,15,87,3
P1638,4,75,2
P1639,8,14,2
P1640,4,36,4
P1641,15,9,2
P1642,2,16,0
P1643,5,63,3
P1644,14,90,4
P1645,0,60,1
P1646,14,63,2
P1647,5,80,2
P1648,10,85,1
P1649,12,9,3
P1650,6,19,1
P1651,0,60,4
P1652,7,20,3
P1653,7,59,0
P1654,4,82,2
P1655,11,35,3
P1656,12,58,0
P1657,3,38,3
P1658,7,84,0
P1659,15,74,3
P1660,5,39,0
P1661,2,7,4
P1662,6,82,0
P1663,2,9,4
P1664,2,63,1
P1665,8,52,0
P1666,5,41,3
P1667,3,89,1
P1668,15,28,3
P1669,6,53,2
P1670,0,77,0
P1671,5,81,4
P1672,0,55,1
P1673,13,36,1
P1674,3,75,3
P1675,15,87,0
P1676,13,49,3
P1677,6,51,0
P1678,15,28,2
P1679,15,89,4
P1680,15,64,0
P1681,12,22,1
P1682,15,15,2
P1683,9,22,0
P1684,4,69,2
P1685,10,35,4
P1686,11,55,2
P1687,8,42,3
P1688,11,61,1
P1689,9,72,2
P1690,9,52,2
P1691,11,51,0
P1692,11,6,4
P1693,7,47,4
P1694,3,61,3
P1695,11,78,3
P1696,2,78,4
P1697,11,33,2
P1698,2,17,4
P1699,8,50,3
P1700,1,63,3
P1701,0,7,3
P1702,6,64,2
P1703,4,67,1
P1704,14,65,0
P1705,11,56,0
P1706,0,50,3
P1707,10,69,4
P1708,0,32,1
P1709,12,78,0
P1710,1,24,2
P1711,0,64,0
P1712,1,12,1
P1713,13,26,0
P1714,9,13,1
P1715,5,71,0
P1716,8,51,3
P1717,2,6,4
P1718,10,87,0
P1719,11,68,1
P1720,6,38,3
P1721,15,90,3
P1722,13,10,2
P1723,13,24,3
P1724,0,20,2
P1725,5,76,4
P1726,12,52,0
P1727,3,52,1
P1728,3,71,3
P1729,13,33,4
P1730,9,54,0
P1731,13,7,0
P1732,6,9,0
P1733,2,69,2
P1734,1,22,0
P1735,12,5,0
P1736,8,26,0
P1737,1,49,3
P1738,3,16,1
P1739,11,68,4
P1740,7,48,4
P1741,0,17,1
P1742,1,79,3
P1743,8,22,0
P1744,1,50,0
P1745,0,37,3
P1746,13,26,4
P1747,4,50,3
P1748,10,38,3
P1749,2,72,0
P1750,10,26,4
P1751,8,89,0
P1752,8,85,0
P1753,6,63,2
P1754,0,85,0
P1755,3,64,0
P1756,9,62,3
P1757,8,52,4
P1758,4,29,0
P1759,8,17,4
P1760,11,67,1
P1761,13,88,3
P1762,6,79,1
P1763,12,84,0
P1764,12,9,3
P1765,15,39,2
P1766,13,58,1
P1767,5,47,1
P1768,7,22,1
P1769,12,90,4
P1770,1,44,4
P1771,12,29,4
P1772,12,90,2
P1773,8,51,2
P1774,13,21,0
P1775,12,54,3
P1776,9,9,4
P1777,14,43,3
P1778,12,21,2
P1779,2,84,1
P1780,10,12,2
P1781,0,55,2
P1782,15,88,1
P1783,10,75,0
P1784,3,81,4
P1785,9,13,3
P1786,14,37,3
P1787,13,82,3
P1788,6,26,1
P1789,9,53,3
P1790,14,26,3
P1791,2,46,3
P1792,0,18,4
P1793,15,34,4
P1794,9,36,1
P1795,2,38,3
P1796,3,80,3
P1797,2,52,1
P1798,7,38,1
P1799,15,75,2
P1800,2,88,2
P1801,2,21,3
P1802,7,72,0
P1803,1,90,0
P1804,8,18,0
P1805,2,76,4
P1806,15,5,1
P1807,9,83,1
P1808,8,80,1
P1809,7,23,2
P1810,0,6,1
P1811,4,10,1
P1812,7,72,2
P1813,1,40,0
P1814,10,82,1
P1815,8,82,2
P1816,8,67,0
P1817,0,16,3
P1818,1,60,0
P1819,3,15,2
P1820,13,13,1
P1821,5,40,3
P1822,3,33,3
P1823,14,45,3
P1824,11,68,4
P1825,15,26,0
P1826,0,35,0
P1827,11,24,2
P1828,4,19,0
P1829,8,39,3
P1830,6,67,2
P1831,14,71,3
P1832,1,68,4
P1833,9,81,1
P1834,11,78,1
P1835,13,29,4
P1836,4,32,0
P1837,1,19,4
P1838,6,86,3
P1839,5,86,2
P1840,9,8,2
P1841,13,64,2
P1842,13,63,2
P1843,12,23,0
P1844,3,48,3
P1845,10,16,0
P1846,14,11,4
P1847,0,16,1
P1848,14,19,4
P1849,7,77,0
P1850,5,84,1
P1851,12,9,0
P1852,15,57,1
P1853,15,25,1
P1854,3,65,0
P1855,10,45,0
P1856,7,12,3
P1857,3,37,4
P1858,14,61,4
P1859,9,59,3
P1860,2,47,3
P1861,9,6,1
P1862,1,54,0
P1863,12,19,2
P1864,6,85,2
P1865,10,44,0
P1866,15,20,3
P1867,13,82,3
P1868,1,86,3
P1869,8,84,0
P1870,0,84,1
P1871,2,47,2
P1872,6,13,3
P1873,15,6,3
P1874,2,58,4
P1875,11,71,0
P1876,11,76,2
P1877,9,41,4
P1878,4,71,2
P1879,7,89,1
P1880,7,50,4
P1881,11,36,2
P1882,13,51,4
P1883,13,8,1
P1884,6,59,0
P1885,11,72,4
P1886,10,40,3
P1887,14,71,0
P1888,13,37,0
P1889,0,7,0
P1890,12,36,4
P1891,7,49,0
P1892,4,27,4
P1893,9,76,2
P1894,4,28,1
P1895,2,68,2
P1896,5,43,3
P1897,7,60,1
P1898,14,78,4
P1899,14,38,2
P1900,2,9,2
P1901,6,57,3
P1902,9,46,3
P1903,1,10,3
P1904,3,73,0
P1905,14,57,4
P1906,12,70,2
P1907,12,88,0
P1908,9,50,2
P1909,0,21,0
P1910,3,24,3
P1911,10,19,0
P1912,12,31,3
P1913,7,24,3
P1914,15,83,1
P1915,5,53,4
P1916,7,85,2
P1917,1,39,3
P1918,7,40,4
P1919,7,37,2
P1920,13,41,4
P1921,15,47,0
P1922,1,17,2
P1923,11,77,2
P1924,7,89,4
P1925,5,43,2
P1926,11,50,4
P1927,15,9,3
P1928,7,10,1
P1929,6,87,1
P1930,8,24,2
P1931,3,8,1
P1932,9,44,0
P1933,2,48,0
P1934,7,24,0
P1935,3,22,4
P1936,0,37,4
P1937,1,13,1
P1938,14,75,3
P1939,13,76,3
P1940,4,27,2
P1941,6,19,2
P1942,10,54,2
P1943,8,43,3
P1944,13,76,4
P1945,6,17,3
P1946,4,46,4
P1947,2,23,4
P1948,8,69,4
P1949,8,43,0
P1950,9,46,4
P1951,2,54,0
P1952,4,33,0
P1953,1,22,3
P1954,3,18,4
P1955,12,23,1
P1956,13,62,3
P1957,7,13,0
P1958,13,81,1
P1959,1,66,1
P1960,8,25,0
P1961,4,44,3
P1962,12,75,0
P1963,1,48,1
P1964,0,46,3
P1965,4,41,2
P1966,15,78,3
P1967,0,42,0
P1968,10,37,3
P1969,7,24,4
P1970,9,30,0
P1971,9,75,2
P1972,1,13,1
P1973,5,64,3
P1974,4,51,4
P1975,12,33,1
P1976,14,19,0
P1977,15,70,0
P1978,8,13,0
P1979,7,24,0
P1980,1,5,3
P1981,9,58,2
P1982,1,28,3
P1983,5,24,4
P1984,10,77,3
P1985,15,17,4
P1986,5,29,1
P1987,10,18,0
P1988,1,6,3
P1989,9,20,2
P1990,13,34,2
P1991,2,7,4
P1992,15,55,0
P1993,13,44,4
P1994,6,21,0
P1995,4,73,0
P1996,4,70,2
P1997,14,27,2
P1998,13,38,0
P1999,0,55,3
P2000,5,84,1
P2001,15,62,2
P2002,14,65,3
P2003,8,45,0
P2004,8,54,1
P2005,12,65,4
P2006,14,85,1
P2007,6,30,4
P2008,10,77,3
P2009,10,77,1
P2010,3,74,3
P2011,0,10,4
P2012,11,7,4
P2013,7,46,0
P2014,0,63,1
P2015,7,54,3
P2016,12,37,3
P2017,1,71,3
P2018,2,74,4
P2019,6,47,0
P2020,4,48,0
P2021,0,54,1
P2022,7,66,1
P2023,2,82,1
P2024,15,45,3
P2025,10,61,0
P2026,4,82,2
P2027,3,32,3
P2028,4,63,0
P2029,5,33,1
P2030,0,24,1
P2031,2,31,4
P2032,2,72,4
P2033,4,71,1
P2034,4,86,1
P2035,14,48,0
P2036,2,69,0
P2037,12,21,0
P2038,3,62,0
P2039,8,42,4
P2040,10,41,2
P2041,10,79,3
P2042,11,38,2
P2043,11,43,3
P2044,13,20,0
P2045,14,36,2
P2046,12,21,3
P2047,11,60,3
P2048,4,46,1
P2049,2,11,3
P2050,10,33,2
P2051,1,38,1
P2052,10,51,3
P2053,15,61,1
P2054,2,21,1
P2055,9,14,0
P2056,8,24,0
P2057,10,15,1
P2058,7,40,1
P2059,3,12,4
P2060,3,82,4
P2061,7,51,1
P2062,15,88,1
P2063,15,41,0
P2064,0,31,0
P2065,13,83,4
P2066,14,38,2
P2067,7,16,1
P2068,7,64,1
P2069,14,12,2
P2070,11,77,1
P2071,13,62,0
P2072,10,63,2
P2073,4,17,2
P2074,2,36,4
P2075,13,12,3
P2076,2,87,2
P2077,1,73,3
P2078,1,22,3
P2079,11,64,3
P2080,5,58,2
P2081,5,26,3
P2082,11,25,2
P2083,6,46,2
P2084,8,20,3
P2085,9,21,1
P2086,10,11,0
P2087,5,66,3
P2088,11,61,2
P2089,14,37,2
P2090,9,28,2
P2091,0,77,1
P2092,5,35,0
P2093,15,10,0
P2094,4,21,0
P2095,9,66,4
P2096,6,22,4
P2097,12,28,3
P2098,12,23,0
P2099,3,53,1
P2100,3,20,1
P2101,14,14,3
P2102,6,28,0
P2103,7,5,4
P2104,9,78,0
P2105,14,81,2
P2106,11,51,0
P2107,15,16,0
P2108,7,73,1
P2109,2,47,1
P2110,7,77,4
P2111,7,23,2
P2112,7,7,0
P2113,6,18,2
P2114,0,31,3
P2115,13,75,3
P2116,13,86,1
P2117,13,89,2
P2118,10,29,1
P2119,13,48,0
P2120,11,86,2
P2121,5,70,3
P2122,12,33,1
P2123,14,45,2
P2124,11,87,1
P2125,15,31,4
P2126,14,29,0
P2127,5,68,2
P2128,8,25,3
P2129,15,21,0
P2130,9,21,4
P2131,6,29,1
P2132,9,10,1
P2133,0,82,2
P2134,10,84,4
P2135,15,27,2
P2136,4,60,4
P2137,5,86,3
P2138,4,11,0
P2139,9,13,0
P2140,7,79,0
P2141,13,41,0
P2142,6,45,2
P2143,8,89,4
P2144,8,12,4
P2145,10,14,1
P2146,11,52,1
P2147,15,10,0
P2148,12,14,2
P2149,3,13,1
P2150,4,7,1
P2151,12,88,4
P2152,7,40,2
P2153,14,39,3
P2154,14,86,1
P2155,12,35,0
P2156,3,78,1
P2157,13,87,1
P2158,6,16,4
P2159,14,86,1
P2160,13,24,1
P2161,6,24,1
P2162,11,38,4
P2163,2,23,3
P2164,11,90,2
P2165,5,25,3
P2166,5,17,4
P2167,4,46,0
P2168,15,52,3
P2169,1,82,0
P2170,9,56,4
P2171,1,21,0
P2172,0,30,0
P2173,15,55,0
P2174,0,54,3
P2175,1,78,2
P2176,3,70,2
P2177,1,47,4
P2178,0,36,0
P2179,9,19,2
P2180,14,21,1
P2181,5,27,1
P2182,10,40,1
P2183,12,36,4
P2184,11,73,2
P2185,1,47,3
P2186,3,79,0
P2187,3,18,3
P2188,2,18,0
P2189,2,83,4
P2190,12,6,4
P2191,8,14,2
P2192,5,23,4
P2193,11,53,0
P2194,4,28,1
P2195,4,12,2
P2196,0,34,2
P2197,3,30,3
P2198,3,82,0
P2199,8,49,4
P2200,1,66,1
P2201,11,62,1
P2202,3,63,3
P2203,3,79,3
P2204,12,70,3
P2205,15,45,1
P2206,6,73,4
P2207,6,67,3
P2208,2,45,3
P2209,2,41,1
P2210,6,49,3
P2211,10,11,3
P2212,15,57,0
P2213,12,56,2
P2214,11,54,1
P2215,15,52,3
P2216,5,10,1
P2217,0,86,4
P2218,2,45,3
P2219,11,36,2
P2220,0,37,0
P2221,10,64,1
P2222,12,32,0
P2223,9,76,4
P2224,8,87,1
P2225,7,63,4
P2226,13,49,0
P2227,10,42,3
P2228,2,33,1
P2229,5,43,0
P2230,11,83,0
P2231,9,48,3
P2232,6,88,0
P2233,14,76,4
P2234,14,37,4
P2235,15,7,3
P2236,14,75,0
P2237,1,78,4
P2238,4,64,4
P2239,9,69,4
P2240,6,73,1
P2241,10,59,0
P2242,4,50,3
P2243,12,89,0
P2244,4,48,3
P2245,7,40,1
P2246,3,10,0
P2247,10,59,4
P2248,4,48,3
P2249,11,68,2
P2250,2,63,2
P2251,10,81,4
P2252,7,47,4
P2253,7,39,2
P2254,10,25,1
P2255,9,90,1
P2256,0,78,1
P2257,3,90,4
P2258,6,59,3
P2259,10,46,1
P2260,11,17,3
P2261,11,42,2
P2262,7,66,4
P2263,7,41,3
P2264,3,68,1
P2265,3,44,1
P2266,0,49,4
P2267,10,40,3
P2268,3,17,2
P2269,15,64,1
P2270,4,74,2
P2271,13,47,2
P2272,8,38,0
P2273,13,64,0
P2274,7,85,4
P2275,2,39,1
P2276,0,37,1
P2277,2,58,0
P2278,3,51,0
P2279,3,46,2
P2280,1,78,2
P2281,6,77,2
P2282,3,60,1
P2283,5,17,2
P2284,2,56,1
P2285,11,80,4
P2286,11,66,3
P2287,12,43,0
P2288,11,8,1
P2289,10,53,1
P2290,9,24,2
P2291,0,72,3
P2292,15,12,0
P2293,14,86,2
P2294,11,28,0
P2295,0,43,1
P2296,14,59,4
P2297,6,65,4
P2298,11,36,0
P2299,5,74,2
P2300,14,34,3
P2301,4,7,2
P2302,5,90,4
P2303,2,20,1
P2304,3,24,1
P2305,12,17,1
P2306,13,35,3
P2307,8,63,2
P2308,2,53,3
P2309,4,62,2
P2310,5,21,1
P2311,3,37,0
P2312,9,76,1
P2313,10,88,1
P2314,2,42,2
P2315,15,46,0
P2316,5,21,2
P2317,8,88,0
P2318,14,60,0
P2319,10,9,3
P2320,2,64,0
P2321,3,43,0
P2322,11,10,4
P2323,3,22,0
P2324,12,21,4
P2325,8,10,1
P2326,6,49,2
P2327,8,87,3
P2328,15,54,0
P2329,9,66,4
P2330,8,35,0
P2331,8,65,1
P2332,4,68,1
P2333,5,69,4
P2334,13,27,3
P2335,12,62,0
P2336,1,47,0
P2337,7,16,3
P2338,2,78,3
P2339,1,73,0
P2340,15,22,2
P2341,13,69,3
P2342,6,45,0
P2343,0,79,1
P2344,10,16,1
P2345,7,27,1
P2346,1,36,0
P2347,8,63,1
P2348,3,12,3
P2349,13,37,1
P2350,3,7,2
P2351,2,69,0
P2352,2,56,0
P2353,2,21,4
P2354,3,52,1
P2355,11,30,2
P2356,7,85,2
P2357,5,12,1
P2358,15,36,4
P2359,9,9,0
P2360,12,46,1
P2361,9,30,4
P2362,6,48,3
P2363,6,47,3
P2364,7,62,0
P2365,11,36,1
P2366,9,88,1
P2367,11,37,0
P2368,10,61,0
P2369,14,43,4
P2370,5,21,2
P2371,15,37,1
P2372,4,72,2
P2373,5,45,3
P2374,8,65,3
P2375,7,60,1
P2376,13,78,3
P2377,7,38,2
P2378,7,90,4
P2379,2,63,4
P2380,12,66,3
P2381,5,66,4
P2382,3,82,4
P2383,5,21,0
P2384,7,81,3
P2385,8,33,1
P2386,13,31,4
P2387,7,51,0
P2388,15,17,3
P2389,8,20,3
P2390,3,51,4
P2391,0,88,1
P2392,2,44,4
P2393,9,85,2
P2394,7,27,3
P2395,1,46,3
P2396,13,40,1
P2397,8,17,0
P2398,0,31,3
P2399,1,68,4
P2400,8,78,2
P2401,8,5,2
P2402,3,22,0
P2403,5,69,2
P2404,10,30,1
P2405,5,67,0
P2406,8,21,0
P2407,13,87,3
P2408,1,7,4
P2409,12,73,1
P2410,0,25,3
P2411,2,60,1
P2412,1,88,4
P2413,13,80,0
P2414,12,18,1
P2415,13,31,3
P2416,5,64,1
P2417,5,19,4
P2418,6,25,2
P2419,14,47,4
P2420,2,16,4
P2421,10,24,3
P2422,10,73,4
P2423,6,63,2
P2424,0,64,4
P2425,9,48,4
P2426,5,69,3
P2427,7,24,4
P2428,9,28,2
P2429,7,90,0
P2430,3,59,4
P2431,11,23,1
P2432,9,85,4
P2433,10,51,2
P2434,4,18,2
P2435,8,19,4
P2436,4,49,2
P2437,12,15,0
P2438,3,83,2
P2439,14,54,1
P2440,5,48,4
P2441,8,53,2
P2442,13,80,4
P2443,11,43,1
P2444,13,16,4
P2445,5,84,0
P2446,0,41,0
P2447,0,5,4
P2448,8,22,4
P2449,11,82,2
P2450,5,67,2
P2451,15,22,4
P2452,3,40,3
P2453,7,82,0
P2454,2,61,2
P2455,0,57,3
P2456,9,33,2
P2457,11,13,1
P2458,4,5,3
P2459,2,10,1
P2460,4,76,2
P2461,4,25,2
P2462,4,88,1
P2463,8,6,0
P2464,3,16,2
P2465,8,87,2
P2466,9,43,4
P2467,11,38,2
P2468,15,76,3
P2469,10,45,3
P2470,7,31,4
P2471,10,15,4
P2472,15,38,4
P2473,14,30,2
P2474,12,42,4
P2475,13,29,0
P2476,3,68,0
P2477,12,19,3
P2478,5,14,3
P2479,8,35,2
P2480,15,78,3
P2481,2,61,2
P2482,10,78,4
P2483,8,46,1
P2484,1,41,4
P2485,6,88,3
P2486,7,21,0
P2487,12,81,1
P2488,4,46,1
P2489,8,67,2
P2490,11,88,0
P2491,7,77,4
P2492,12,33,1
P2493,9,73,1
P2494,8,24,1
P2495,7,64,4
P2496,6,56,0
P2497,1,32,1
P2498,8,24,4
P2499,15,39,3
P2500,15,69,2
P2501,5,86,0
P2502,3,81,2
P2503,2,55,2
P2504,13,14,2
P2505,9,52,0
P2506,0,77,4
P2507,2,19,1
P2508,3,60,3
P2509,13,19,2
P2510,14,9,3
P2511,2,51,3
P2512,14,42,3
P2513,0,51,2
P2514,13,16,2
P2515,15,5,2
P2516,14,59,3
P2517,13,72,3
P2518,8,21,0
P2519,14,34,4
P2520,11,36,4
P2521,13,38,2
P2522,11,8,0
P2523,9,86,1
P2524,1,37,4
P2525,7,73,2
P2526,0,13,1
P2527,10,40,4
P2528,2,73,1
P2529,5,78,2
P2530,3,12,3
P2531,4,22,1
P2532,15,88,1
P2533,13,7,3
P2534,14,64,0
P2535,13,88,0
P2536,1,86,4
P2537,9,88,4
P2538,12,18,1
P2539,7,9,0
P2540,14,63,0
P2541,3,46,1
P2542,13,86,3
P2543,4,78,3
P2544,5,45,3
P2545,13,24,1
P2546,4,64,2
P2547,8,47,0
P2548,3,7,4
P2549,5,40,4
P2550,15,49,2
P2551,3,33,0
P2552,9,12,0
P2553,5,73,3
P2554,8,40,0
P2555,11,21,3
P2556,8,8,3
P2557,2,88,0
P2558,5,11,4
P2559,13,62,3
P2560,9,57,1
P2561,11,76,0
P2562,13,10,2
P2563,5,24,3
P2564,10,31,2
P2565,7,71,2
P2566,3,70,0
P2567,6,28,3
P2568,14,76,4
P2569,5,28,3
P2570,6,14,2
P2571,13,83,4
P2572,1,12,0
P2573,14,52,4
P2574,12,86,4
P2575,3,80,2
P2576,1,88,4
P2577,14,20,4
P2578,3,6,1
P2579,0,30,3
P2580,8,56,2
P2581,10,14,0
P2582,0,65,1
P2583,0,11,3
P2584,12,84,0
P2585,10,5,2
P2586,15,64,4
P2587,3,84,2
P2588,0,21,4
P2589,2,87,2
P2590,14,63,4
P2591,5,31,0
P2592,7,19,3
P2593,12,61,3
P2594,8,49,2
P2595,11,72,1
P2596,2,8,0
P2597,6,9,1
P2598,13,79,0
P2599,7,62,4
P2600,14,77,1
P2601,1,55,0
P2602,5,26,4
P2603,9,73,4
P2604,1,68,4
P2605,6,31,2
P2606,4,35,0
P2607,5,43,3
P2608,3,69,2
P2609,4,38,4
P2610,4,24,4
P2611,11,46,4
P2612,8,9,0
P2613,11,32,0
P2614,11,47,0
P2615,11,33,3
P2616,1,83,0
P2617,3,18,2
P2618,13,21,1
P2619,4,23,4
P2620,5,82,3
P2621,1,49,3
P2622,10,58,4
P2623,9,25,2
P2624,3,57,4
P2625,5,29,3
P2626,6,75,0
P2627,8,10,2
P2628,10,22,3
P2629,11,23,2
P2630,0,19,4
P2631,3,89,2
P2632,9,49,1
P2633,13,60,4
P2634,9,58,4
P2635,10,26,0
P2636,7,73,2
P2637,9,90,0
P2638,0,66,3
P2639,13,17,2
P2640,12,15,2
P2641,15,64,4
P2642,9,79,3
P2643,9,48,2
P2644,8,19,4
P2645,6,9,2
P2646,5,35,3
P2647,5,56,0
P2648,2,39,1
P2649,9,19,1
P2650,7,51,2
P2651,3,79,0
P2652,4,15,2
P2653,1,56,3
P2654,4,55,1
P2655,13,52,0
P2656,2,30,0
P2657,0,44,4
P2658,15,16,3
P2659,4,75,1
P2660,5,88,4
P2661,11,8,3
P2662,2,41,3
P2663,14,32,4
P2664,8,18,2
P2665,15,71,1
P2666,1,82,0
P2667,6,30,3
P2668,3,74,1
P2669,15,58,2
P2670,8,5,1
P2671,4,82,0
P2672,0,22,1
P2673,3,20,4
P2674,14,85,4
P2675,1,82,1
P2676,1,68,0
P2677,10,30,4
P2678,15,67,4
P2679,9,31,0
P2680,9,77,2
P2681,1,50,1
P2682,1,40,1
P2683,9,15,2
P2684,3,78,4
P2685,0,60,1
P2686,13,59,3
P2687,12,55,0
P2688,3,31,1
P2689,3,38,3
P2690,3,52,1
P2691,15,64,2
P2692,14,60,2
P2693,15,5,0
P2694,15,47,1
P2695,7,52,3
P2696,13,84,1
P2697,12,21,3
P2698,3,14,0
P2699,7,6,1
P2700,0,59,4
P2701,2,90,2
P2702,15,77,3
P2703,8,18,1
P2704,5,20,0
P2705,2,32,4
P2706,0,32,3
P2707,10,30,3
P2708,3,73,0
P2709,2,48,1
P2710,11,11,1
P2711,15,17,0
P2712,6,34,2
P2713,5,25,4
P2714,9,39,2
P2715,14,16,4
P2716,13,48,2
P2717,6,59,4
P2718,9,46,4
P2719,13,84,3
P2720,6,54,3
P2721,9,22,0
P2722,4,69,2
P2723,13,29,2
P2724,14,88,1
P2725,2,22,3
P2726,10,37,0
P2727,5,84,2
P2728,1,56,2
P2729,7,57,3
P2730,3,18,1
P2731,9,61,3
P2732,4,6,1
P2733,1,62,1
P2734,8,65,3
P2735,4,58,3
P2736,1,71,2
P2737,14,84,2
P2738,10,62,2
P2739,12,46,2
P2740,7,87,4
P2741,13,45,0
P2742,4,42,0
P2743,11,80,3
P2744,14,85,3
P2745,11,5,4
P2746,13,78,3
P2747,5,77,1
P2748,1,10,2
P2749,9,81,3
P2750,2,22,2
P2751,11,16,3
P2752,12,62,4
P2753,13,46,2
P2754,8,68,1
P2755,13,73,1
P2756,14,26,0
P2757,12,62,4
P2758,4,23,1
P2759,1,18,4
P2760,10,68,1
P2761,6,70,1
P2762,10,38,4
P2763,9,27,3
P2764,5,13,4
P2765,9,71,4
P2766,12,14,2
P2767,1,84,3
P2768,0,74,2
P2769,0,32,4
P2770,11,34,0
P2771,2,46,0
P2772,2,13,4
P2773,13,41,1
P2774,12,64,1
P2775,6,34,0
P2776,15,42,3
P2777,2,13,4
P2778,0,41,3
P2779,6,82,3
P2780,11,34,1
P2781,14,65,0
P2782,5,53,1
P2783,1,65,1
P2784,13,72,0
P2785,7,28,1
P2786,8,43,2
P2787,11,73,3
P2788,6,67,0
P2789,13,68,0
P2790,5,32,1
P2791,6,22,0
